document,sentence,label
HTY 123,People  of  all  shapes  and  sizes.,I
C9A 904,"Why,  amongst  all  the  different  classes  and  orders  is  there  such  a  surprising  array  of  forms,  shapes  and  sizes?",U
B35 36,Winners  of  the  Tour  have  come  in  all  sizes  and  shapes.,I
CD5 151,"This  all-female  group  includes  singer  Laurie  Anderson,  radical  performance  artist  Karen  Finley  and  painter  Barbara  Kruger  among  many  other  famous  Manhattanites,  artists,  journalists,  lawyers  and  women  of  all  sizes,  shapes  and  colours.",I
C97 1188,"I  asked  Malcolm  Hendry,  who  has  built   12,000  aquariums  in  all  shapes  and  sizes.",I
GU8 956,The  visual  system  of  a  toad  is  a  world  of  moving  dark  objects  of  various  sizes  and  shapes;  its  gastronomic  choice  is  to  put  all  the  objects  of  a  certain  size  in  its  mouth.,O
CK9 1031,"She  walked  over  to  an  outhouse  which,   the  rest  of  the  place,  looked  extremely  tidy  in  that  on  the  shelves  were  arrayed  different  tools  of  all  shapes  and  sizes;  and  on  the  walls,  hanging  from  nails,  was  all  the  accoutrement  that  went  to  the  dressing  of  a  horse:  collars,  bridles,  saddles,  some  stiffened  with  age,  others  looking  usable.",I
ABJ 299,How  then  does  Boeing  manage  to  make  aircraft  of  all  shapes  and  sizes?,I
G0L 2797,"The  roof  bristled  with  antennae,  of  all  shapes  and  sizes,  tuned  to  a  variety  of  radio  signals  and  wavebands.",I
CEG 930,Trees  grow  in  all  shapes  and  sizes  and  their  timbers  look  very  different.,I
HSK 93,"Pavings  for  patios  come  in  all  shapes,  sizes  and  colours.",I
CGW 774,Neckline  templates  of  all  shapes  and  sizes  for  the  ‘ Sew  &  Cut ’.,I
JXW 1699,"We  cater  for  all  ages,  shapes  and  sizes.",I
CGE 261,"What  we  are  in  all  our  shapes  and  sizes  has  been  fashioned  and  contoured  through  both  inheritance  and  experience  —  the  comprehensive  impact  upon  us  of  our  parents,  childhood  and  upbringing,  and  with  it  those  joys,  dramas  and  significant  experiences  which  contribute  to  what  is  sometimes  called  our  adult  self.",I
CGW 1094,Basic  block  shapes  are  provided  in  a  range  of  sizes  for  all  the  standard  styles  and  these  can  be  adapted  to  fit  the  individual  figure.,O
A0F 1736,People  of  all  shapes  and  sizes  became  my  biggest  threat  and  a  vital  potential  source  of  assistance.,I
CLV 900,"Floatplanes  of  all  shapes  and  sizes  operate  from  Brennands  Seaplane  Base,  in  a  cove  on  the  west  shore  of  nearby  Lane  Winnebago.",I
HWE 323,"Dolls  of  all  shapes  and  sizes  were  arranged  on  shelves,  and  an  outsize  doll's  house  stood  in  one  corner  of  the  room,  a  miniature  swing  in  the  other.",I
A14 880,"BEERS  in  bottles  all  shapes  and  sizes  —  some  look   two  pints  —  now  fill  a  whole  corner  of  the  store,  their  colourful  labels  firing  your  tastebuds.",I
K2M 21,"He  was  among,  around  and  in  close  proximity  to  about  100  canines  of  all  shapes,  sizes  and  breeds,  and  he  came   the  event  totally  unscathed.",I
G2M 154,"Although  canal  bridges  all  perform  the  function  of  providing  access  across  water,  they  come  in  a  host  of  shapes  and  sizes  and  are  made  from  many  different  materials.",I
CER 1275,"This  involved  varying  the  experimental  conditions  in  all  possible  sensible  ways,  trying  out  different  amounts  of  electrical  currents,  and  changing  materials,  the  shapes  and  sizes  of  electrodes,  and  the  electrolytes,  studying  how  the  heat  production  varied  with  the  mean  temperature  of  the  cell.",O
G2F 1371,"Other  innovations  are  wands  of  all  shapes  and  sizes  that  can  be  used  to  create  different  effects   spiral,  flat  or  zig-zag  shaped  curls  in  dry  hair.",I
CLU 948,of  stunning  photos  of  balloons  of  all  shapes  and  sizes  this  book  tells  the  story  of  ballooning  through  the  ages.,I
ABB 1779,"Pasta  comes  in  all  shapes  and  sizes,  some  for  specific  recipes,   the  large  sheets  of  lasagne,  but  many  of  the  others  can  be  used  as  required.",I
HCP 138,But  listed  buildings  come  in  all  shapes  and  sizes.,I
ACY 231,"Pots  come  in  all  shapes,  sizes  and  colours.",I
GVY 466,"STATIONS  came  in  all  shapes  and  sizes,  and  served  a  multiplicity  of  functions.",I
BNG 1620,"The  children  were  playing  with  a  mass  of  junk  boxes,  all  shapes  and  sizes.",I
K22 209,"It's  offering  ten  pounds  to  anyone  who's  prepared  to  stand   a  suspect,  and  is  hoping  that  people  of  all  ages,  colours,  shapes  and  sizes  will  come  forward.",I
B09 255,"In  practice,  on  Market  Days,  every  available  car  is  operated  including  twin-car  units,  and  impressive  convoys  of  trams  —  all  shapes  and  sizes  —  run  to  Fleetwood.",I
K1G 3298,Steve  Joynes  has  a  vast  collection  of  jukeboxes  of  all  shapes  and  sizes.,I
FBD 18,"Nerve  cells,  or  neurons,  come  in  all  sorts  of  shapes  and  sizes  and  perform  a  great  variety  of  functions.",I
B1N 16,Bus  stop  queues  were  long  with  women  of  all  shapes  and  sizes.,I
B1H 2469,"They  make  many  different  types  of   —  plate  glass  and  frosted  glass  for  windows,  safety  glass  for  cars,  plain  and  coloured  bottles  of  all  shapes  and  sizes.",I
AKE 1697,"The  event,  as  ever,  was  for  all  shapes  and  sizes,  ages  and  abilities.",I
CG5 602,"They  come  in  all  shapes  and  sizes:  as  flat  sheets,  in  decorative  shapes,  and  as  mirror  tiles  or  mirror  mosaics.",I
K1S 3567,The  All  Wheel  Drive  Club  was  started  for  jeeps  and  landrovers … now  the  machines  come  in  all  shapes  and  sizes … there  are  over  a  hundred  meetings  a  year … there's  10  rounds  of  the  British  Safari  Championship …,I
H9D 86,‘ Writers  come  in  all  shapes  and  sizes.,I
G35 2052,"They  come  in  all  shapes  and  sizes,  from  tall  and  skinny  to  short  and  round,  with  every  conceivable  variation  .",I
HPC 102,"Joining  teddy  bears  of  all  shapes,  colours  and  sizes  which  are  flooding  in  from  TV  stars  and  personalities  all  over  the  country  will  be  Prime  Minister  John  Major's  very  own  bear  and  those  of  his  parliamentary  colleagues.",I
G2F 2738,"To  complete  your  kitchenware  collection,  Prestige  bakeware  comes  in  a  variety  of  shapes  and  sizes  (not  all  shown).",O
CE4 81,"There  are  many  hundreds  of  sizes,  shapes  and  shades  of  rose,  some  scented  and  others  not,  some  that  will  flower  all  summer  long,  and  others  that  will  only  bloom  for  two  or  three  weeks  during  early  summer.",O
A27 51,"Voluntary  help  comes  in  all  shapes  and  sizes,  from  large  national  organisations  to  simple  individual  kindnesses.",I
AL3 1711,"Motorhomes  now  come  in  all  shapes  and  sizes,  with  minihomes  available  for  smaller  parties.",I
HX4 1151,"Years  of  experience  supplying  the  catering  industry  combined  with  in-depth  research  and  development  programmes,  have  allowed  equipment  manufacturers  to  transform  what  were  once  humble  pieces  of  kit  into  the  sort  of  ultra-modern  hardware  now  available  for  installation  in  kitchens  of  all  shapes  and  sizes.",I
G3G 1308,"There  were  humans  of  all  shapes  and  sizes,  richly  and  ostentatiously  dressed,  and  a  large  mingling  of  equally  impressive  exters.",I
GW2 2860,Her  childhood  in  the  Burrows  had  well  acquainted  her  with  fearsome  beasts  of  all  shapes  and  sizes.,I
