document,sentence,label
CDA 1280,"The  aircraft  was  set  on  automatic  pilot,  leaving  Vologsky  little  more  than  a  passenger  .",L
CGE 787,If  we  bypass  the  decision  we  simply  move  into  autopilot  and  the  red  alert  comes  into  play.,U
ECX 1362,"The  autopilot  means  that  you  can  let  go  of  the  cyclic,  a  real  treat  for  the  light  brigade.",L
CFT 3964,• NMEA  0180  autopilot  output.,L
ECX 1305,The  owner  treated  himself  to  the  luxury  of  an  SFIM  two-axis  autopilot  for  pitch  and  roll  control.,L
ECX 1370,"The  test  aircraft  (above)  included  a  two-axis  autopilot,  ADF,  RNav,  Decca,  HSI  and  radio  altimeter.",L
CFT 4432,The  World's  Most  Advanced  Cockpit  Autopilots.,L
B7J 1431,"As  we  shall  see,  there  is  much  in  the  organisation  of  bee  learning  that  suggests  the  gears  and  wheels  of  an  automatic  pilot   any  aware  intelligence.",I
HRM 718,An  understanding  of  the  biotic  and  expressive  orders  supplies  us  with  an  improved  appreciation  of  human  agency;  one  which  means  we  need   envisage  people  as  automatic  pilots  swept  along  by  the  broad  forces  of  capitalist  processes  and  social  relations.,I
CU0 977,"WHEN  TEA  was  taken  at  3.10  on  the  final  afternoon  of  the  first  Test,  even  the  more  fervent  student  for  the  long  game  could  have  been  forgiven  for  switching  to  automatic  pilot.",I
CFT 4292,"NECO  Autopilot,  Hydraulic  roller  Furling  and  ,  lot  more.",L
JY2 1627,"Feeling  oddly  remote,  detached,  Luce  walked  through  the  various  rooms   on  automatic  pilot,  weighing  up  the  pros  and  cons:  accessibility,  what  space  was  needed,  how  the  lighting  could  be  arranged,  the  desirability  of  an  exit  at  either  end …",I
A6F 1076,"As  already  noted,  the  attraction  of  monetarism  for  the  new  Conservative  leadership  by  1979  was  that  it  promised  a  method  of  controlling  inflation  by  means,  ,  of  an  automatic  pilot;  there  would  be  no  need  for  government  to  compromise  its  authority  with  producer  groups.",I
HGU 3699,He  is  on  automatic  pilot.,I
