document,sentence,label
CL1 1156,"But,  then  when  you've  done  it  to  the  best  of  your  ability  and  you  can't  really  see  the  rewards,  then  you  have  to  analyse  why.",I
FT4 1537,"Patients  believe  that  their  doctor,  to  the  best  of  his  or  her  ability,  is  following  two  rules:  everything  that  is  beneficial  is  being  done,  and  nothing  is  being  done  that  is  not  directly  beneficial.",I
CKL 125,"It  was  all  about  preparing  properly,  having  pride  and  big  hearts  and  playing  to  the  best  of  your  ability  at  the  right  time.",I
EBS 2315,"We  will  try,  however,  to  advise  them  to  the  best  of  our  abilities  with  particular  emphasis  on  representation  by  other  galleries.",I
CEE 1187,"Alone,  I  could  hide  my  inability,  force  myself  to  concentrate  and  to  finish  any  given  piece  of  work  to  the  best  of  my  ability,   long  it  took  me.",I
EE2 1128,"Individual  members  of  society  were  encouraged  to  work  to  the  best  of  their  abilities  and  improve  themselves,  and  a  translation  of  Samuel  Smiles,  became  a  bestseller.",I
B2H 772,"But  perhaps  the  best  measure  of  Paul's  ability  was  that,  although  he  never  sought  publicity  or  acclaim,  he  was  voted  Palace's  Player  of  Year  for  two  consecutive  seasons,  both  of  which  were  spent  in  Division  One,  in  1979–80  and  1980–81.",O
B2D 375,Indeed  the  Department  of  the  Environment  issued  in  1976  a  code  of  practice  aimed  at  the  prevention  and  abatement  of  smells  from  animal  wastes  which  states  that  ‘ in  any  proceedings  brought   an  alleged  odour  nuisance  it  may  be  a  relevant  consideration  if  the  company  has  adhered  to  the  code  of  practice  to  the  best  of  its  ability ’.,I
C9V 283,"The  body,  however,  being  a  potentially  self-healing  system,  will  combat  the  effects  of  the  imbalance  to  the  best  of  its  ability  through  the  prostaglandin,  immune  and  hormonal  systems.",I
HA6 2702,"I'm  here  for  one  reason  —  to  do  a  job,  and  I  mean  to  carry  it  through  to  the  best  of  my  ability,  with  or  without  your  approval.",I
CEF 1799,"Performing  their  job  to  the  best  of  their  ability,  such  managers  set  an  example  for  others  to  follow.",I
HRJ 429,There  was  therefore   any  reason  for  or  point  in  hesitation;  and  I  said  that  if  I  were  the  choice  that  I  would  respond  to  the  best  of  my  ability …,I
