document,sentence,label
HA6 3350,All  she  ever  had  from  him  was  the  biting  lash  of  his  tongue.,O
JY3 1177,She  could  have  bitten  off  her  impulsive  tongue.,I
HJ4 5746,"Portadown's  Sonya  Rowe  and  her  horse  Amsterdam  had  been  leading  after  dressage,  but  were  eliminated  on  the  cross-country  at  fence  four  after  the  horse  put  his  tongue  over  the  bit  and  Sonya  lost  control.",O
HTL 641,I  bit  my  tongue  and  simply  said:  ‘ So? ’,I
K97 3139,I've  bitten  my  tongue  so  many  times  it's  got  holes  in  it ’,U
BMC 2903,One  can't  help  feeling  there  may  be  a  bit  of  tongue  in  cheek  here!,O
CMC 1675,These  bite  the  Goblin  on  the  tongue   his  body  is  always  saturated  with  strange  intoxicating  poisons.,O
FPR 542,"Any  farm  worker  could  easily  anticipate  the  consequences  of  ‘ going  against ’  the  local  farmers,  so   they  resigned  themselves  to  this  situation,  bit  their  tongues   spoke  out  and  developed  what  is   their  notorious  taciturnity  and  ability  to  ‘ keep  themselves  to  themselves ’.",I
ADF 1550,"So  the  bit  was  taken   his  mouth  and  put  back  in  the  proper  place,  and  Wendy  continued  to  calmly  trot  him  around  with  the  other  horses;  and  Huckleberry  kept  putting  his  tongue  over  the  bit  again,  and  again,  and  again.",O
H7W 3070,"‘ Wash  the  dishes,  make  the  bed  — ’  She  would  willingly  have  bitten  her  tongue  off.",I
BN9 182,"Morris  is  a  decent,  amiable  guy,  one  of  the  best  on  the  circuit,  and  he  bit  his  tongue  when  many  others  in  his  position  would  have  made  a  public  scene  of  it.",I
JYE 2168,"the  words  were  out,  she  could  have  bitten  her  tongue,  but  it  was  too  late.",I
C98 1998,"At  her  first  appearance  in  the  rose  pink  blouse,  her  father's  eyebrows  and  icy  glower  had  caused  her  to  redden  under  his  gaze  but  ,  her  mother's  slight  head-shake  had  caused  Jonadab  to  bite  his  tongue  and  he  had  made  no  comment  to  Martha.",I
CK9 1362,"And  when  told  it  was  Victoria  after  the  Queen  and  that  the  Queen  was  a  wonderful  lady,  and  her  Prince  was  wonderful,  too,  she'd  had  to  bite  her  tongue  to  prevent  herself  from  saying,  ‘ Aye,  she's  a  wonderful  lady  ,  she's  still  for  bairns  your  size  working  twelve  hours  a  day.",I
HGY 2739,"‘ I'm  sorry,  Ellie,  but  can  you  bear  just  to  bite  your  tongue  when  he  sounds  off  about  him?",I
