document,sentence,label
C9J 2157,BUILDING  BRIDGES,U
G2F 1224,BUILDING  BRIDGES,U
HS2 588,Stoddard's  Man  Builds  Bridge  for  Billy,U
HS2 594,"Battlefield  Engineers  build  bridges,  clear  obstacles,  build  roads  or  destroy  them.",L
CF4 1220,There  is  far  more  talk  of  building  bridges.,U
FAB 3207,"Patrick  was  right,  she  must  build  bridges  now  with  Lizzy.",I
ABJ 661,There  is  a  valley-wide  ‘ cultural  competency ’  campaign  to  build  bridges.,I
CEP 5027,but  the  situation  is  still  redeemable  and  we  want  to  build  bridges . ’,I
K52 6834,"SKERNE  Ironworks  built  bridges  the  whole  world  over,  as  told  last  week.",I
ANX 1323,"The  cost  of  making  safe  American  buildings,  bridges  and  pipelines  almost  defies  imagining.",L
A77 988,Building  Bridges  with  28  Amphibious  Engineer  Regiment  Captain  D  J  G  Wood  RE,L
B3K 2222,"LEEDS  WATERFRONT  is  a  Tourism  Development  Action  Programme,  building  bridges  across  Leeds  for  Tourism  and  Leisure.",L
FB1 1256,"The  landed  nobility  showed  no  inclination  to  build  bridges  with  urban  property-owners,   workers  and  peasants.",I
K4S 1699,"But  the  Botanic  Centre,  initiated  by  Middlesbrough  Council,  is  determined  to  build  bridges  with  the  community.",I
A2J 236,Tottenham  police  are  fond  of  saying  publicly  that  they  want  to  ‘ build  bridges ’  with  the  community  here.,I
AB3 776,Prince  doesn't  so  much  build  bridges  between  categories  as  create  music  that  exceeds  each  category  simultaneously.,I
GT6 789,"He  dominated  both  Mellor  and  Marple,  setting  up  diverse  enterprises:  limekilns,  coal-shafts,  building  bridges,  and  turnpike  roads.",L
HHV 6888,"Friend  says,  the  schemes  are  valuable  in  building  bridges  between  the  police  and  the  community.",I
K96 989,"Kiu  Wah,  which  means  building  bridges,  is  the  name  of  Westminster  SSD's  first  project  geared  to  the  Chinese  community.",I
A3L 670,"It's   to  build  bridges  with  South  Africa,  but  if  bridges  are  falling  down  in  Wales  something  must  be  done  about  it . ’",U
CGD 1712,"Social  workers  can  help  by  understanding  the  demanding  nature  of  residential  care,  and  by  building  bridges  in  ways  that  will  be  explained.",I
FSU 665,"Some  Turkish  administrators,   the  grand  vizier  Sokollo,  encouraged  public  works,  building  bridges,  mosques,  and  aqueducts,  but  little  was  done  to  encourage  industry.",L
GUC 1196,It  is  intended  to  illustrate  the  broad  direction  in  which  modelling  might  be  developed  to  build  bridges  between  financial  and  strategic  analysis.,I
K51 1524,"By  1889,  DWEC  was  able  to  boast  that  the  Alliance  Works  had  built  bridges  for  Mexico,  Egypt,  France,  Ireland,  Spain  and,  ,  India.",L
CMR 896,"Feminist  psychologists  are  anxious  to  connect  with  other  critical  psychologies,  and  methodology  offers  an  especially  important  means  of  building  bridges  within  the  discipline.",I
