document,sentence,label
C8D 3585,Let's  call  a  spade  a  spade.,I
KB0 3579,And  er  from  his  conversation    he  appeared    to  be  a  homely  sort  of  a  chap  and  er    he  was  outspoken  but  he  would  call  a  spade  a  spade.,I
B7C 2201,"Many  of  us  have  the  idea  of  Australians,  above  all,  being  people  who  call  a  spade  a  spade.",I
A5A 99,"On  the  one  hand,  there  are  scientists  who  are  only  too  willing  to  call  a  spade  a  pre-spade.",I
B2F 1590,have  a  reputation  for  having  a  no-nonsense  ‘ call  a  spade  a  spade ’  style,I
CGE 798,"There  are  many  people  around  who  call  a  spade  a  spade,  but  who  do  so  in  such  a  rude,  offensive  way,  that  this  kind  of  plain-speaking  becomes  something  to  be  avoided.",I
B1R 790,"really  dirty  hands  my  family  has  not  used  soap  for  many  years  and  our  friends  still  come  to  visit  us,  even  the  blunt  ones  who  are  not  slow  to  call  a  spade  a  spade!",I
H94 2531,"‘ I'm  used  to  people  calling  a  spade  a  spade,  and  I  don't  understand  sophisticated  people, ’  she  said  quietly.",I
B1J 980,"It  is  the  self-designation  preferred  by  those  who  used  to  be  known  as  queers,  poofs,  homos,  by  those  who  like  to  call  a  spade  a  bloody  shovel.",I
BNY 780,"In  some  situations  of  this  sort  digging  out  would  call  for  an  excavator,  not  a  spade!",O
FAC 834,to  call  a  spade  a  spade.,I
A73 683,‘ And  why  can't  you  call  a  spade  a  spade?,I
EWA 1139,"This  may  be  caused  to  some  extent  by  the  general  abstractness  of  the  language;  but  it  is  also  a  matter  of  the  kinds  of  syntactic  presentation  and  complexity  that  James  favours: (i)  Just  as  he  seems  to  avoid  calling  a  spade  a  spade,  so  James  seems  to  avoid  putting  first  things  first.",I
CGH 508,They  say  an  Ulsterman  calls  a  spade  a  spade  and  knows  the  value  of  one.,I
AS4 526,"But  one  of  Clarke's  sons  with  a  turfe  spade,  which  they  call  a  peate  iron, (a  very  keen  thing ,)  struck  Sir  Edward's  man  on  the  head  and  cloave  out  his  brains.",O
B10 1584,"Some  ‘ disguised ’  forms  of  verbal  aggression,   gossip  or  ‘ calling  a  spade  a  spade ’,  are  tolerated  to  a  greater  degree  than  physical  attack  or  direct  verbal  abuse,  but  even  gossip  and  frankness  that  conceal  hostility  are  likely  to  produce  complications  in  human  relationships.",I
AN4 1005,"They  learn  to  call  a  Spade,  a  Spade.",I
