document,sentence,label
HGG 1772,Clear  the  way!,U
A6M 1146,This  has  cleared  the  way  for  a  re-appraisal  of  aid  policies.,I
HKT 2368,In  rejecting  the  argument  the  court  cleared  the  way  for  payments  to  begin.,I
AAK 6,Hungarian  budget  clears  the  way  for  Western  aid.,I
HRY 196,Douglas  Reyburn  clearing  the  way  for  the  future.,I
HKR 136,This  would  clear  the  way  for  the  creation  of  a  multiparty  system  in  the  Soviet  Union.,I
AN4 3102,"To  clear  the  Way  for  Slopes,  and  modern  Whims ;",I
HLS 741,This  decision  cleared  the  way  for  the  budget  committee  to  begin  proceeding  with  the  proposed  supplementary  budget.,I
B7C 150,And  now  the  White  Paper  clears  the  way  for  these  to  be  used  by  cable  stations.,I
K5L 1613,But  American  research  suggests  a  low  level  clears  the  way  for  other  health  horrors.,I
HLB 1204,The  visit  cleared  the  way  for  a  summit  meeting  between  the  Communist  Party  leaders  of  the  two  countries.,I
CDE 227,It  was  palpably  clear  the  way  Edna's  mind  was  working.,O
CH2 3465,THE  TUC  cleared  the  way  yesterday  for  the  rebel  electricians'  union  to  return  to  the  fold.,I
HCP 19,"It  will  replace  the  present  tearoom,  clearing  the  way  for  later  development  in  the  Palace.",I
EER 242,The  changes  clear  the  way  for  industry-run  scheme  to  collect  unwanted  or  unapproved  pesticides  from  farms.,I
HY8 735,"Although  Truman  speedily  allayed  the  worst  of  his  visitor's  fears,  this  simply  cleared  the  way  for  other  issues.",I
ABE 3258,"By  adopting  the  third  directive  on  life  assurance,  the  European  Commission  cleared  the  way  for  a  single  European  insurance  market.",I
AKV 702,"Soccer:  Extra  pay  would  clear  the  way  for  replays,  say  police  SOCCER",I
B35 428,"The  motorbikes  clear  a  way  but  fans  still  jump  into  the  road,  running  behind  their  favourites  and  pushing  them.",L
K4T 2898,I  have  left  the  way  clear  for  anyone  to  take  over  as  chairman.,I
HLT 916,"The  move  cleared  the  way  for  the  delivery  of  radars,  torpedoes  and  aviation  electronics  kits  that  had  been  purchased  by  China  before  the  crackdown.",I
HL4 1664,The  IMF's  approval  also  cleared  the  way  for  further  assistance  from  Western  aid  donors.,I
K3X 716,"The  decision,  following  a  public  inquiry  in  February,  clears  the  way  for  a  controversial  gipsy  transit  camp.",I
A3L 429,This  will  clear  the  way  for  the  International  Automobile  Federation  (FIA)  to  reach  a  conclusion  on  Mansell's  appeal  against  his  exclusion  from  the   at  Jerez.,I
EDA 456,Others  cleared  a  way  through  the  crowd  and  he  was  helped  outside  to  Lambeth  Infirmary.,L
C8V 780,This  is  the  scepticism  that  rules  scepticism  itself   court  and  clears  the  way  for  legitimate  faith.,I
CAE 1289,"Although  only  incidentally  Western,  this  cleared  the  way  for   by  finally  rendering  the  genre  commercial  again.",I
KP1 6310,they  only  put  the  sirens  on  erm    when  they  want  to    clear  a  way  through  traffic.,L
HPP 1910,It  ‘ clears  the  way  for  camera  technology  to  be  used  in  detecting  speeding  and  red  light  offences.,I
J1M 2452,"First  tonight,  Hearts  manager  Sandy  Clark  has  cleared  the  way  for  Justin  Fashanu  to  join  Dundee  United.",I
EFH 1015,"The  shoulder  on  the  waste  restricts  access  to  the  headstock  side  of  the  sphere,  but  this  is  cleared   the  way  with  a  gouge,  using  the  sphere  cutting  tool  as  a  rest.",L
AL6 655,But  there  is  no  sign  that  the  disgrace  of  the  last  Soviet  satrap  will  clear  the  way  for  peace.,I
K54 3935,"‘ I  very  much  hope  this  clears  the  way  for  an  early  go-ahead  in  time  for  work  to  commence  from  April, ’  he  said.",I
APP 1139,"A  delegation  asked  the  police  to  clear  the  way  and  when  this  was  refused,  four  DCAC  members  made  a  token  protest  by  leaping  over  the  barriers.",L
HL6 302,"The  EC  measures,  which  were  criticized  by  the  ANC,  appeared  to  clear  the  way  for  a  resumption  of  exports  of  iron,  steel  and  krugerrands.",I
HTV 1207,The  importer  had  decided  to  clear  the  way  for  a  more  profitable  relationship  with  Lever  Bros  by  eliminating  the  local  laundry  soap  competition  entirely.,I
HXU 106,"In  advance  of  the  operation,  the  Americans  had  assumed  that  Giraud's  prestige  in  French  North  Africa  would  clear  the  way  to  a  rapid  ceasefire.",I
CBC 11101,When  Ken  wants  to  give  his  girlfriend  a  kiss  he  first  calls  in  a  construction  team  to  clear  the  way.,U
B0L 339,"A  serious  incident  was  averted,  however  —  although  one  ‘ threatening  individual ’  was  detained  —  and  officials  managed  to  clear  a  way  through.",L
HKS 1513,The  CNU  finally  adopted  a  new  electoral  law  on  March  17  which  cleared  the  way  for  the  holding  of  a  general  election  on  May  20.,I
CBE 1695,Foreign  Secretary  Douglas  Hurd  will  chair  the  meeting  and  hopes  to  clear  the  way  for  success  at  Friday's  Edinburgh  EC  summit.,I
ASB 1729,The  way  in  which  the  police  had  cleared  a  way  through  to  the  front  door  of  the  building  at  which  Mr  Brittan  was  to  speak  was  particularly  controversial.,L
ABG 837,"If  the  fine  print  turns  out  to  be  okay,  this  will  eventually  clear  the  way  for  America  to  grant  most-favoured-nation  trading  status  to  the  Soviet  Union.",I
BNB 943,On  14  October  Louis  XV  himself  signed  orders  instructing  Admiral  Conflans  to  set  the  whole  invasion  scheme  in  motion  by  clearing  the  way  across  the  Channel.,L
GWG 2434,"Riley  swore  and  Linley  drawled  that  there  was  nothing  to  get  upset  about,  because  Harbury  had  himself  cleared  the  way  for  the  man  Riley  wanted  appointed.",I
HKX 1000,"Unlike  its  predecessors,  however,  the  summit  concluded  with  a  series  of  far-reaching  agreements  which  cleared  the  way  for  the  establishment  of  a  Caribbean  common  market.",I
HWG 1092,"The  financial  difficulties  arising   Henry  VIII's  wars  were,  however,  to  clear  the  way  for  a  massive  redistribution  of  landed  resources  through  the  spoliation  of  the  Church.",I
K5D 703,"The  Sejm  accepted  the  most  contentious  point,  a  deficit  of  about  £3.4  billion,  clearing  the  way  for  a  new  credit  deal  with  the  International  Monetary  Fund.",I
K5D 7087,"They  believe  the  court  was  mistaken  last  year  when  it  granted  a  petition  making  the  university  authorities  sole  trustee,  clearing  the  way  for  the  proposed  sale.",I
CPK 253,"Meanwhile,  Berkeley  Software  says  it  has  sent  out  650  copies  of  production  BSD/386  Release  1.0  code  since  the  judge  cleared  the  way  for  distribution  to  start  a  month  ago.",I
FEU 686,"But  how  can  difficulties  be  assisted  or  cleared   the  way  if,  when  attending  the  lecture,  you  know  nothing  of  the  topic  discussed?",I
J10 3543,By  the  time  Owen  arrived  the  crowd  was  sixty  deep  and  he  had  to  get  his  constables  to  clear  a  way  through.,L
K1F 1773,They're  clearing  the  way  for  the  new  600  series  and  we're  seeing  the  first  evidence  of  the  Japanese  working  practises.,I
EDA 872,"the  appeal,  about  3,000  demonstrators  converged  on  Olympia,  where  a  cordon  of  500  police,  mounted  and  on  foot,  kept  the  way  clear  for  the  ticket-holders.",L
HPX 1358,This  represents  a  clear  way  of  connecting  a  school  plan  and  the  daily  practices  of  its  teachers.,O
A7W 636,ALAST-MINUTE  call  for  courage  by  the  Archbishop  of  Canterbury  yesterday  pushed  a  tense  and  hesitant  General  Synod  into  a  vote  that  clears  the  way  for  ordination  of  women  priests.,I
EDA 1112,"His  opponents,  massed  in  Cable  Street,  were  determined  that  he  should  not  pass,  and  6,000  police  were  needed  to  keep  order  and  to  make  an  attempt  at  clearing  the  way.",L
HLF 2194,"The  new  legislation  cleared  the  way  for  state  holding  institutions,   the  Istituto  per  la  Ricostruzione  Industriale  (IRI),  to  become  limited  liability  companies  and  to  draw  up  detailed  plans  for  disposals.",I
CB2 333,"Firstly,  you  don't  get  much  space,  which  is  why  I  was  so  lucky  to  have  Paul  Rendall  clearing  the  way  for  me.",L
BM5 622,Their  removal  left  the  way  clear  for  Michael  Schumacher  to  stage  a  dramatic  charge  as  he  chased  Berger's  McLaren-Honda  to  the  line.,L
G32 79,"Sanskrit,  an  extremely  terse  language  used  in  scientific  treatises,  whose  purpose  was  to  clear  the    way  for  unambiguous  expression  without  redundancy  or  obscurity.",I
JYF 820,"So  ‘ Thank  you,  Lubor, ’  she  accepted  quietly,  and  received  another  of  his  beaming  smiles  before,  the  way  clear,  he  moved  off  into  traffic.",L
ASY 786,I  have  expanded  on  the  teaching  of  English  as  exemplifying  in  a  particularly  clear  way  the  distinction  between  the  practical  and  the  theoretical.,O
APD 129,"During  the  last  days  of  May  1967  the  United  States  reached  an  understanding  with  Israel,  clearing  the  way  for  the  latter's  attack  on  Egypt  on  5  June  1967.",I
A3G 574,The  ruling  in  Strasbourg  yesterday  that  the  complaints  are  admissible  clears  the  way  for  a  future  hearing  before  the  European  Court  of  Human  Rights  in   two  years'  time.,I
HKX 1156,"Menem's  victory  was  interpreted  as  clearing  the  way  for  him  to  forge  alliances  with  national  and  provincial  parties  of  the  left,  centre  and  right.",I
CAF 1213,"As  quickly  as  Romanian  revolutionaries  changed  Lenin  Strada  to  Strada  Demokratiei,  the  complex  questions  of  responsibility  and  guilt  were  brushed  aside  to  clear  the  way  for  the  new  era.",I
GXK 1051,Don  has  cleared  up  the  way  he  diddled  his  income-tax  returns.,I
HHW 5683,That  is  not  clear  from  the  way  that  the  Bill  is  worded.,O
FS7 31,"We  need  to  do  this  to  clear   the  way,  before  we  go  any  further  into  the  study  of  social  policy,  a  most  misleading  and  widespread  false  assumption  about  the  character  of  our  subject.",I
HLA 1367,"The  reversal  cleared  the  way  for  the  Swiss  cantonal  court  of  Geneva  to  co-operate  in  the  investigation  by  disclosing  details  of  six  secret  accounts  with  Swiss  banks  which  were  alleged  to  contain  money  paid  by  Bofors  in  "" commissions "" .",I
HLE 1630,In  October  a  Supreme  Court  ruling  had  cleared  the  way  for  criminal  charges  to  be  brought  against  the  company  and  its  officials  [see  p.  38532].,I
K95 1142,"A  herald  went  before  them,  a  silver  trumpet  to  his  lips,  whilst  two  serjeants-at-arms    cleared  the  way  with  sharp  knocks  from  their  staffs.",L
K59 2069,"MOVES  by  the  US  to  introduce  an  energy  tax  could  clear  the  way  for  a  similar  measure  by  the  European  Community,   Sir  Leon  Brittan,  the  external  trade  commissioner,  writes  Frank  Frazer.",I
HU0 134,"Melford    and  a  group  of  archers  fanned  out  before  the  cavalcade;  they  cleared  the  way  of  the  usual  merchants,  traders,  pedlars,  students  and  hosts  of  vagabonds  and  beggars  who  cluster  on  every  road  like  flies  round  a  horse's  arse.",I
AAW 234,"It  was  often  not  an  attractive  process  but,  in  succeeding,  he  cleared  the  way  for  other  Europeans  to  become  the  world-class  players  they  are  now.",I
FBL 2734,"All  this  may  have  helped  to  clear  the  way  for  Dan  Quayle,  the  much  lampooned  vice-president  who  dodged  the  draft  by  joining  the  National  Guard.",I
K4T 9287,"Anchor  International  were  granted  a  liquor  licence  by  magistrates  on  May  13,  leaving  the  way  clear  to  build  a  ten-pitch,  £1.25m  complex  on  the  site.",I
K5M 9314,A  judge  of  the  court  —  one  of  the  three  who  voted   Mr  Yeltsin  —  said  the  ruling  could  be  enough  to  clear  the  way  for  impeachment  proceedings.,I
A16 1050,"The  drill  is  basically  designed  for  drilling  holes  into  extremely  hard  masonry,  usually  for  some  type  of  fixing,  or  to  clear  a  way  for  cables  or  pipes.",L
K5M 1736,"THE  surprise  election  victory  of  Australia's  Labor  prime  minister,  Paul  Keating,  at  the  weekend  has  cleared  the  way  for  Australia  to  remove  Queen  Elizabeth  as  head  of  state  and  become  a  republic,  observers  said  yesterday.",I
HPX 222,Teachers  need  to  be  clear  about  the  way  in  which  different  issues  are  decided.,O
