document,sentence,label
FBL 1334,"I  don't  want  to  be  one  of  the  best  in  the  world,  I  want  to  be  the  best  in  the  world,  and  everyone  I  come  up  against  is  a  stepping  stone  to  me  getting  over  that  bridge.",O
K1U 1729,Well  to-do  visitors  would  have  taken  it  as  their  right  to  be  given  a  tour  of  the  house  and  gardens  as  they  travelled  the  country  in  past  centuries  —  today  visitors  from  all  over  the  world  come  to  Blenheim  —  their  entrance  fees  paying  for  its  up-keep.,O
BMS 2869,"Ghastly  about  his  dad  being  in  there  —  the  only  person  Vern's  got  in  the  whole  wide  world,  and  he's  shut  up  in  there  and  not  allowed  to  come  out.",O
KC0 3136,"And  then  he  told  me  a  hilarious  story  about  the  way  in  which  the  chairman  of  the  committee,  I'm  not  sure  quite  what  particular  branch  in  the  world  he'd  come  from  but    he  was  looking  at  the  figures,  I  suppose  it  was  an  accountant    looking  at  the,  the  figures  saying  now  why  is  it  that  the  amount  spent  on  district  nurses  has  gone  up?",O
CDY 933,Sure  an'  they  must  be  pleased  seein'  the  geddle  come  up  in  the  world  like  she  has . ’,I
AK6 153,Lack  of  time  has  been  cited  as  a  possible  reason  why  a  new  set  of  criteria  put  before  the  world  governing  body's  council  in  Tokyo  last  year  failed  to  come  up  for  discussion.,O
G3C 1116,"Yes,  you've  heard  it  before  but  JOHN  ROBB  reckons  that  World  Of  Twist  really  have  come  up  with  one  of  the  singles  of  the  year  in  ‘ The  Storm ’.",O
EEF 897,"scale  requirements  have  come  down  and  thus  open  up  new  possibilities  in  small  markets,  the  gains  will  not  be  great  until  the  assembly  plants  are  backed  by  world-class  support  structures.",O
ASR 370,"The  ash-fall  which  buried  Pompeii  and  the  mudflow  which  covered  Herculaneum,  however,  are  first-class  examples  of  two  major  kinds  of  volcanic  phenomena,  which  have  been  repeated  scores  of  times  on  different  volcanoes  in  different  parts  of  the  world  and  we  will  be  following  them  up  more  closely  when  we  come  to  a  detailed  consideration  of  the  mechanisms  of  eruptions.",O
CED 152,There  are  probably  many  examples  of  instances  in  which  Western  technology  has  come  up  with  a  good  idea  which  has  the  capability  of  helping  the  hundreds  of  millions  of  people  in  the  Developing  World.,O
CAH 1827,"As  Mazur  got  closer  to  the  big  players  in  the  Colombian  drug  world,  one  name  began  to  come  up  more  and  more  often:  that  of  BCCI.",O
KB8 9967,"you  did,  you're  the  cleverest  girl  in  the  world  aren't  you?  there's  your  space  suit    where  are  you?,  come  here  while  I  pull  your  pants  up,  pants  up  first,  pants  up  first    lets  run  some  water    wait  a  minute  your  trousers  are  not  pulled  up    right  both  hands  in    a  little  bit  of  soap  on,  now  rub  them  together    good  rinse,  get  all  the  soap  off,  right  shake,  rattle  and  roll,  hands  washed,  I  mean  dried  sorry",O
CTB 50,"Sequoia  Systems  Inc,  Marlborough,  Massachusetts,  has  come  up  with  Sequoia  Support  Network,  claiming  an  industry-first  in  being  able  to  instantaneously  detect  and  automatically  respond  to  system  errors  anywhere  in  the  world.",O
ACP 2378,TEN  TRACKS  for  autumn  —  Danny  Rampling's  recommendations:  Eve  ‘ Love  Come  Down ’ (More  Protein);  Camachos  Project  ‘ Slave ’ (US  Nu-Groove);  Crazy  Eddie  ‘ Nena  De  Ibiza ’ (Creation);  Rumbledub  ‘ God  Is  In  The  House ’ (white  label);  Be  Big  ‘ That's  When  It's  Gold ’ (10);  Rio  Rhythm  Band  ‘ Carnivale  de  Case ’ (white  label);  Pleasure  Inc  ‘ Sexy  Dancer ’ (US  New  World);  Leslie  Sunder  ‘ One  In  A  Million ’ (Major  Force);  Lupo  ‘ Keep  It  Up ’ (Low  Spirit);  Danny  Rampling  ‘ I  Hate  Hate ’ (Creation ),O
HWX 1116,"Yes,  you've  heard  it  before  but  JOHN  ROBB  reckons  that  World  Of  Twist  really  have  come  up  with  one  of  the  singles  of  the  year  in  ‘ The  Storm ’.",O
A05 853,Representatives  of  the  few  people  they  had  come  to  know  in  the  course  of  their  wanderings  round  the  world  were  left  to  clear  up.,O
HH3 604,"Then  I  look  in  the  mirror  and  think:  ‘ You're  not  Miss  World,  kiddo ’,  and  I  thank  God  that  someone  didn't  determine  that  my  appearance  didn't  come  up  to  scratch.",O
CJF 724,"They  were  identical  with  their  small  upper  windows,  narrow  porches  and  square  bays,  but  it  was  obvious  that  the  road  was  coming  up  in  the  world.",I
J0W 64,One  of  Ken's  aunts  had  come  up  in  the  world  and  arrived  at  the  cemetery  wearing  a  fur  coat  which  was  donned  purely  and  simply  to  impress  the  other  members  of  the  family.,I
A5G 134,"Elsewhere  in  the  media  world,  LWT  has  come  up  with  a  new  plan  to  restructure  itself   the  new  franchise  auction  in  1992.",O
H7F 393,"He  wondered  how  many  people  in  all  the  mental  hospitals  in  the  country  — or  the  world "",  — come  to  that  — were  really  fallen  Warriors  who  had  either  cracked  up  from  the  strain  of  trying  to  live  in  this  hell-hole,  or  simply  made  the  wrong  choice  and  thought  that  the  test  was  just  seeing  through  the  whole  thing  and  then  having  the  courage  to  stand  out  and  make  that  challenge.",O
CRX 847,",  correctionalists  prepared  to  enter  appreciatively  into  the  meaning  world  of  deviants  may  well  come  up  with  something  useful  for  their  purposes  (although  that,  ,  is  not   what  Matza  had  in  mind).",O
APD 1092,"Having  grown  up  under  the  nose  of  the  Israeli  war  machine,  young  Palestinians  have  come  to  the  conclusion  that,  in  the  world  they  inhabit,  might  is  right  and  the  only  way  to  survive  and  flourish  is  to  be  strong  and  violent.",O
HNK 510,"‘ Tell  me,  Ralph, ’  she  cooed,  ‘ do  you  know  of  any  safe  seats  that  are  coming  up  in  your  part  of  the  world? ’",O
K1L 876,"If  you  can  reduce  the  pattern  to  a  measurement,  then  people  anywhere  in  the  world  will  come  up  with  the  same  result.",O
HWL 2208,"Innes  McInnes  was  obviously  a  soup-meat-cheese  man  from  way  back,  but  had  come  up  in  the  world.",I
AT8 65,"With  the  tightening  of  world  oil  demand  which  will  come  in  the  1990s  and  the  beginnings  of  a  ‘ catching-up ’  programme  of  crude  price  increases,  it  is  to  be  hoped  that  measures  will  be  taken  in  good  time  to  counteract  what  could  be  a  politically  unacceptable  and  potentially  debilitating  economic  dependence  on  imported  energy,  for  the  US  and  for  the  rest  of  the  Western  world.",O
