document,sentence,label
ACY 24,"It's  clean,  quick  and  simple  —  taking  the  mess   cutting  flower  stems  because  it  retains  all  the  cut  stems  in  the  glass  decanter  until  you  actually  want  to  discard  them.",O
K5H 2617,RENTOKIL  was  quick  off  the  mark  yesterday  when  it  decided  to  increase  its  dividend  by  more  than  earnings  to  compensate  for  the  Chancellor's  decision  to  cut  the  tax  credit  on  dividends  from  25   to  20  .,O
AJP 395,"On  the  other  hand,  the  chance  of  a  ‘ surprise ’  Conservative  victory  (bringing  with  it  a  soaring  pound  and  a  quick  cut  to  interest  rates,  which  would  in  turn  boost  the  economy)  gave  rise  to  the  thought  that  the  index  might  go  up  by  300  points.",O
JXT 4018,There  was  a  cruel  taunt  in  his  voice  that  cut  her  to  the  quick.,I
H9D 2017,That's  probably  why  she  sent  him  —  she  knew  it  would  cut  him  to  the  quick.,I
KDA 2367,"But  then  again   you're  you're  advised   against  going  over  the  speed  limit  that  most  people  do,  I  do    I  I  tell   like  I  said  I'm  not  a  saint  cos  like    a  couple  of  times  when  I  was  first  driving,  especially  in  my  fucking  sprint    cos  it  was  a  quick  car    I  used  to  drive  up  people's  arses  and  wait  until  I  could  overtake  them    and  if  they  did  slow  down    that  used  to  incense  me  and  I'd  fucking,  I'd  go  right  up  there  arse  and  then  probably  try  and  cut  them  up  when  I  went,  overtook  them    and  I   fucking  learnt,  I  got  a    I  had  a  couple  of  close  calls  like,  people  are  slamming  brakes  on  and  stuff",O
F9D 913,"This  technique  has  moved  —  to  an  extent  —  into  TV  programmes  and  film,  and  agency  TV  producers  and  creative  groups  tend  to  assume,  automatically,  that  quick-cut  films  are  understood  and  followed  by  everybody  with  complete  ease.",O
JXU 339,"Marc  laughed  again  with  a  scathing  humour  that  seemed  to  cut  Peter  to  the  quick,  but  Marc  went  on,  ‘ You  don't  mean  you're  going  to  enjoy  Uncle's  money,  you  mean  you're  going  to  squander  it.",I
J11 18,"Quick  sponge  cake  is  best  made  the  day  before  using  (or  earlier),  as  the  cake  will  then  be  much  easier  and  less  messy  to  cut  and  shape.",O
A4E 12,"But  Floyd's  air  of  mock  humility,  constant  stream  of  self-reflexive  comments  ('Quick  cut  away;  lots  and  lots  of  minutes  have  gone   ’)  and  bossy  remarks  to  the  cameraman  were  as  refreshing  as  ever.",O
APP 694,In  quick  succession  the  city  was  faced  with  plans  to  cut  the  last  of  its  rail  links  to  Belfast  and  the  closure  of  the  ferry  services  to  Heysham  and  Glasgow.,O
HA9 1074,She  was  cut  to  the  quick  by  the  accusation.,I
CR6 218,"Quick  as  a  flash  the  doctor  had  cut  the  cord,  passed  the  child  to  Matilda  Jenkins,  and  was  stitching  away  at  Sarah   his  own  life  depended  on  it.",O
