document,sentence,label
EAK 685,One  additional  piece  of  the  puzzle  falls  into  place  with  the  new  ice-core  timescale.,I
A7D 806,"Slipping  for  years,  pointed  out  tactfully  by  our  friends  and  neighbours,  pushed  back  into  place  with  the  bamboo  boathook,  they  had  chosen  that  day  to  fall.",I
HU0 690,"‘ So,  Shallot,  the  pieces  of  the  puzzle  fall  into  place.",I
CF8 255,"EXPORT  optimism  is  continuing  to  grow  among  British  producers,  providing  further  evidence  that  the  planks  of  recovery  are  falling  into  place.",I
CRS 1118,"And  after  he  said  typical  mongol,  I  think,  I  don't  know,  it's  awkward  to  explain:  everything  seemed  to  fall  into  place.",I
CKD 971,And  then  the  full  implication  of  her  cousin's  words  fell  into  place.,I
B1F 1568,"Men  in  the  West  seem  to  fear  this  dichotomy,  although  it  is  not  a  separation  but  more  a  reorganisation  of  life   the  spiritual  gains  the  most  important  part  and  the  rest  of  life  falls  into  place  beneath.",I
HCE 460,"Reinforcing  this  pattern  may  be  the  fact  that  girls  in  class  fall  into  a  role  they  assume  to  be  the  natural  order,  taking  second  place  to  boys.",O
FS0 1791,"Gradually,  watching  world  powers  responding  differently  as  new  crises  emerged,  it  fell  into  place.",I
GUU 29,The  rest  of  the  conversation  suddenly  fell  into  place.,I
H90 2958,"And  don't  forget,  Roger, ’  Benjamin  added,  ‘ with  the  window  slamming  shut,  the  inside  latch  might  just  have  fallen  into  place . ’",L
HJ5 7874,Since  the  Vendor  will  have  entered  into  the  relevant  contracts  in  the  first  place  it  is  for  the  Vendor  to  take  the  risk  as  saying   the  contracts  fall  within  these  categories.,O
HPY 408,"The  strong  correlation  between  characterization  and  prenominal  position,  and  "" occasion ""  use  and  postnominal  position  also  falls  naturally  into  place,   the  fact  that  it  does  not  amount  to  a  complete  correspondence.",I
CF4 462,But  lots  of  things  were  falling  into  place  for  me.,I
JY2 2664,One  piece  of  the  puzzle  fell  into  place.,I
G05 960,"And  so  the  components  of  post-war  redevelopment  fell  into  place:  central  area  design  to  a  comprehensive  plan;  ring  roads  and  a  functional  road  layout;  new  standardized  housing  forms;  the  neighbourhood  unit;  overall  the  dispersed,  decentralized  city.",I
HTX 368,Afterwards  a  lot  of  things  fell  into  place.,I
G0A 1374,"Perhaps  some  asteroid,  nudged   its  place  in  the  great  gravitational  gavotte,  would  fall  to  Earth;  a  bullet  into  a  face,  obliterating.",O
JYC 725,‘ I  just  wish  the  complete  picture  would  fall  into  place . ’,I
AMC 1612,"At  the  fall  of  France,  Donald  Caskie  had  refused  a  place  on  the  last  boat  home  and  instead  had  gone  south  where,  working  from  the  Seamen's  Mission  in  Marseilles,  he  had  hidden  hundreds  of  allied  servicemen  and  helped  them  to  escape  over  the  Pyrenees  into  Spain.",O
CC5 203,"Events  are  falling  into  place  for  setting  up  a  work  in  Glasgow  based  within  my  home  church,  Queen's  Park  Baptist.",I
HJ3 4893,"AS  the  Belfast  and  District  Chess  league  draws  to  a  close,  the  various  promotion  and  relegation  issues  are  beginning  to  fall  more  clearly  into  place.",I
F9A 568,"Most  finds  that  were  simply  lost  (small  and  easily  mislaid,   coins  and  brooches)  or  objects  that  fell  into  places  from  which  they  could  not  be  retrieved,   wells,  are  often  complete  and  may  be  in  very  good  condition,   the  materials  from  which  they  are  made  and  the  conditions  in  which  they  have  been  buried.",L
FSR 1406,"The  Doctor  let  the  wall  hanging  fall  back  into  place,  and  hurried  out,  turning  down  the  hall  to  the  bedroom.",L
HWC 2468,"I  sorted  out  old  toys  into  boxes,  got  a  few  rolls  of  carpet  and  wallpaper  back  into  their  places  from  where  they'd  fallen,  pinned  a  couple  of  maps  back   the  sloping  wooden  under-roof,  cleared  away  some  of  the  tools  and  bits  and  pieces  that  I'd  used  to  repair  the  Factory,  and  loaded  the  various  sections  of  the  Factory  that  needed  to  be  loaded.",O
G05 921,The  principles  fell  into  place:  There  were  two  major  features  to  Tripp's  proposals:  the  acknowledgement  of  a  hierarchy  of  roads  and  the  creation  of  precincts  in  urban  layouts.,I
C86 445,"All  those  ambiguous,  jarring  pieces  fell  into  place.",I
GUU 3965,The  pieces  of  evidence  fell  into  place  with  the  unequivocal  precision  of  a  well-made  jigsaw  puzzle.,I
JYB 1480,"Now  it  all  fell  into  place,  the  child  Anthony  Craven  and  his  physio  that  Jack  had  done  so  competently,  the  way  he  had  reacted …",I
CS0 545,With  this  fresh  perspective  exotic  rituals  which  made  no  sense  in  the  silence  of  the  scholar's  study  except  as  echoes  of  past  glories  fell  into  their  natural  place  as  living  parts  of  the  throbbing  actuality  of  real  flesh-and-blood  communal  life.,I
A8C 297,"Confidence  has  risen  markedly  since  the  defeat  at  Elland  Road;  the  parts  are  falling  neatly  into  place  and  some  of  their  football  in  the  last  three  games  against  Hull,  Widnes  and  Featherstone  has  been  exhilarating.",I
G05 821,The  plan  fell  into  place.,I
HBK 124,"Scotland,  on  it's  own,  would  fall  into  sixth  place.",O
GVT 465,"Many  things  had  fallen  into  place  as  a  result  of  his  father's  explanation:  drawings  on  lavatory  walls,  the  shape  of  girl  babies,  the  strange  scufflings  in  Jimmy  Thompson's  rabbit  hutch  when  they  put  the  black  buck  Jumbo  in  with  Snow  White …",I
EAJ 520,Once  the  major  premisses  have  been  established  the  principles  fall  into  place.,I
J13 4492,I  can  see  what  he  is  thinking:  the  pieces  are  falling  into  place.,I
HGE 2510,"He  was  suddenly  a  doctor  before  all  else,  remembering  other  women  he  had  seen,  and  tried  to  examine,  victims  of  a  brutal  assault,  who  had  been  unable  to  bear  a  man  near  them,   a  man  attempting  to  make  love  to  them,  and  a  score  of  odd  things  about  her  behaviour,  hardly  noticed  at  the  time,  fell  into  place.",I
J18 658,"The  stigmas  fall,  the  stamens  moving  into  their  place,  dehiscing  and  powdering  the  beetles,  which  may  be  copulating;  then  the  stamens  fall  as  do  the  petals,  one  at  a  time,  releasing  the  insects.",O
ART 223,"It  is,  indeed,  a  rarity  when  initial  enthusiastic  ideas,  plans,  ideals  and  logistics  fall  into  place  with  almost  absolute  perfection.",I
HH0 228,"Turning  to  see  an  intruder  in  our  paradise,  sharp  disappointment  falls  into  place.",I
AD9 3678,"’  said  Ari,  brightening,   things  were  beginning  to  fall  into  place  in  her  mind.",I
CBG 3891,Everything  is  falling  into  place  for  United's  winter  push  towards  their  first  title  in  26  years.,I
CFS 1013,Gel  Mist  is  especially  useful  for  those  with  curls  or  perms  because  it  helps  your  curls  fall  into  place  without  frizziness.,L
CM2 101,"For  the  fallibilist,  epistemology  ‘ or  something  like  it,  simply  falls  into  place  as  a  chapter  of  psychology  and  hence  of  natural  science ’,  it  ‘ goes  on,  though  in  a  new  setting,  and  a  clarified  status ’.",I
CA9 720,"In  a  blinding  flash,  everything  fell  into  place.",I
EFS 40,"But  long  before  the  narrative  fell  into  place,  before  I  could  dress  the  eleven-year-old  of  my  imagination  in  the  clothing  of  the  1870s,  I  knew  perfectly  well  what  that  child  had  done,  and  how  she  had  felt.",I
C9K 1832,"I  think  of  the  band  like  puzzle  pieces,  all  falling  into  place  around",I
FPX 274,"She  dragged  herself  to  her  feet,  and  felt  the  short  cotton  skirt  fall  into  place  over  her  smoldering  hind-quarters.",L
