document,sentence,label
J0W 32,"The  show,  said  the  Sunday  Express,  ‘ is  no  food  for  ponderous  thought.",I
K21 2376,food  for  thought  for  Hereford  who  deserved   a  draw … they'd  did  themselves  proud  in  a  game  which  sent  the  fans  home  happy,I
A20 33,"At  the  very  least,  the  exhibition  provides  food  for  thought:  as  the  21st  century  nears,  do  we  really  want  architecture  that  looks   it  was  built  in  the  18th?",I
EV1 1938,"Then,  Bert  and  Jasper  —  but  not  Jack,  a  fact  which  had  to  give  her  food  for  thought  —  met  a  certain  comrade  in  a  certain  private  house  in  a  suburb.",I
HH3 13739,Food  for  thought,I
ASC 1366,"They  affected  his  taste  in  food,  ,  his  liking  for  antiques  —  even,  one  friend  thought,  the  way  he  walked.",O
K5A 1577,"Incidentally,  though  Walker  is  held  to  be  still  more  than  a  touch  rusty  after  so  long   rugby  —  inclined,  ,  to  carry  the  ball  under  the  wrong  arm  —  the  rapidity  with  which  he  has  come  into  cap  contention  ought  to  be  food  for  thought  for  our  own  Jamie  Henderson.",I
CBJ 494,"And  that  should  give  us  food  for  thought;  while  his  uncle  William  in  Frome,  amongst  others,  was  receiving  poor  relief  at  the  rate  of  between  1s.  and  4s.  per  fortnight,  here,  in  the  same  year  of  1799,  the  nephew-made-good  was  handing  over  what  amounted  to  about  a  year's  dole  payments  to  join  an  exclusive  club  in  the  metropolis.",I
FU0 99,Anala  (1974)  thought  that  mussels  should  be  the  preferred  prey  for  H.  lapillus  as  they  offered  a  richer  source  of  food  than  barnacles;  4.844  k  cal  g  —  1  dry  weight  compared  with  3.827.,O
CKD 118,‘ He's  going  to  do  some  errands  for  me  so  I  thought  it  only  fair  to  give  him  a  bit  of  food . ‘,O
A33 123,"the  Spanish  race  has  been  and  gone,  it  is  a  matter  of  clearing  Mansell's  name  and  it  would  seem  that  the  evidence  offered  gave  the  court  food  for  thought.",I
KRM 2565,"Swindon's  got  a  name  as  a  town  where  the  bubble  hasn't  burst,  but  high  interest  rates  are  giving  those  in  the  market  place  food  for  thought.",I
BP8 534,"Food  for  thoughts,  puns  the  hysterical  Kate  as  they  depart.",I
K51 810,Businessmen  get  food  for  thought,I
C91 423,"Finally,  the  pulse  comparator  arrangement  shown  in  Fig.  3  has  been  provided  as  ‘ food  for  thought ’.",I
B3K 1500,Food  for  Thought,I
H8H 507,"‘ I  thought  I  went  for  the  Amazonian  types, ’  he  commented,  ladling  some  of  the  food   his  plate  warily.",O
