document,sentence,label
HGT 5315,"‘ I  know  I'm  no  angel,  Robyn,  I  know  my  temper  gets  the  better  of  me  at  times,  but  you  must  understand  the  pressure  that  I  was  under  too.",I
KRW 12,"They've  had  different  syllabuses  at  school  and  masters  have  in  fact  omitted  large  chunks  of  the  syllabus  to  get  better  results  in  the  parts  that  they  concentrate  on,  so  you  cannot  assume  that  everybody  has  adequate  abilities.",O
AC3 121,"We  used  to  use  a  sort  of  doily  to  go  round  them,  but  now  you    can  get  washable  plastic  lace  by  the  yard,  which  lasts  much  better.",O
FBL 1778,But  pure  animalistic  lust  gets  the  better  of  me.,I
JY1 1228,"Leith  queried,  sarcasm  getting  the  better  of  her.",I
AJY 1717,",  most  hotels  seem  happy  to  let  their  concierges  work  the  system  to  their  advantage,  providing  their  more  entrepreneurial  traits  do  not  get  the  better  of  them,  as  they  did  in  the  case  of  those  at  the  Heathrow  Penta.",I
F9Y 1886,"But  you  had  to  get  past  that  first  because  Bill  was  always  frightened  of  somebody,  perhaps,  trying  to  get  the  better  of  him.",I
HA4 641,But  her  natural  good  manners  got  the  better  of  her  and  she  found  herself  saying  ‘ good  evening ’  and  reminding  Penelope  that  they  had  met  at  the  vicarage.,I
JY2 3286,"When  he  said  no  more,  curiosity  got  the  better  of  her  and  she  asked,  ‘ So  what  is  she? ’",I
HGK 1141,And  he  was  right  in  one  way  —  she  would  love  to  get  the  better  of  him  very  decisively.,I
KPV 7825,"Well  okay,  those  of  you  who  liked  the  Shakespeare  better,  for  whatever  reasons,   it's  just  because  you  didn't  get  to  grips  with  Johnson,  which  of  the  plays,  first  of  all,  erm    did  you  find  most  interesting?",O
CHE 559,"The  younger  you  get  a  bird  of  prey  the  better,  really  —  eight  weeks  is  an  ideal  age.",O
CEF 2247,"Seating  depends  on  room  arrangement  and  table  size;  but  the  more  in  the  centre  you  are  of  any  line  the  better  your  range  of  vision,  and  the  better  placed  you  are  to  get  involved.",O
FPF 782,"Later,  in  the  boat  and  shouting  again   the  whoosh  of  water  behind  them   the  noise  of  the  engine,  Tucker  told  her,  ‘ We  could've  gone  round  by  road  but  this  way  you  get  a  better  feel.",O
KCE 6224,"and  Claire  said  to  me  oh  well  Labour  if  Labour  get  in  we'll  get,  we'll  get  a,  you  know,  we'll  be  much  better  off,  we'll  get  a  much  better  grant,  er  Jane  goes  but  oh  we'll  get,  we'll  get  every  erm,  my  mum  and  dad  will  get  loads  of  other  things  er  dad,  I  won't  be  able  to  pay  for  it,  I  goes  well  no  because  you  probably  get,  you  get  the  housing  benefit  back",O
B19 1197,"The  whole  process  became  disheartening  and,  although  I  tried  various  mantras,  from  words  I  repeated  endlessly  to  candle  flames  that  I  stared  at,  my  thoughts  always  got  the  better  of  me.",I
KBB 6409,"mm,  I  shall  er    get  the  other  lot  in  and  do  that,  do  that  first  thing  in  the  morning,  get  every  thing  cleared  up,  and  then  if  you  give  me  your  pull  overs,  I  can  hand  wash  those  and  put  them  in  the  spin  drier    so  you'd  better  sort  them  out    do  you  think  you'd  of  put  some  tassels  in  that  pelmet?,  you  know  where  the  I've  got  some  spare  one's  no,  don't  you  remember  I  went  into  and  he  gave  me  a  piece  of  the  trimming  and  I  can  take  the  tassels  off",O
HWX 1926,"By  the  time  ‘ Cobweb  Soup ’  grinds  in  on  thin  guitar  it's  already  too  late,  as  curiously  gets  the  better  of  you.",I
H94 2225,Then  common  sense  and  anger  got  the  better  of  her  and  she  firmed  her  mouth  and  concentrated  on  gently  trying  to  wriggle  the  key  free.,I
HGD 626,"Besides,  it  seemed  to  be  terribly  important  to  get  the  better  of  one  arrogant  Frenchman.",I
KRP 604,"the  type  of  paper,  you  know,  ‘ Girton  produces  a  thousand  plus  waste  mountain  every  week ’ —  that  kind  of  line,  and  in  fact  even  better  still  is  to  really  get  it  down  to,  to  humanize  it  and  to  translate  it    as  roughly  as  you  need  to  and  into  round  figures,  and    use   journalistic  licence  and  say,  you  know,  ‘ Every  person  in  Girton  generates  so  many  tonnes  of  waste,  you  know,  each . ’",O
CH4 3167,‘  has  ever  got  the  better  of  her  yet . ’,I
AR3 237,And  you  won't  get  a  better  view  anywhere  in  the  whole  of  England . ’,O
CHW 487,‘ Then  I  know  that  I've  got  the  better  of  them.,I
ECN 969,There's  playing  up  the  teacher  but  it's  more  trying  to  get  the  better  of  him  or  her.,I
HH1 1687,"Water,  ,  could  be  obtained,  she  told  herself  sternly,  before  the  frightening  sensation  of  helplessness  got  the  better  of  her.",I
FPK 102,"’  she  asked  suspiciously,  curiosity  getting  the  better  of  her.",I
HGY 839,"‘ It  sounds  lovely, ’  she  said  warmly,  and  then,  her  curiosity  getting  the  better  of  her,  she  asked  with  a  teasing  smile,  ‘ Why  was  Sylvia  truly  blessed? ’",I
AA7 351,‘ I  think  the  ordeal  of  the  big  occasion  would  have  affected  me  and  my  nerves  would  have  got  the  better  of  me.,I
HA5 2800,"Apparently  all  went  well  for  a  few  days,  then  Svend's  conscience  got  the  better  of  him.",I
CDM 2869,"A  few  minutes  later,  when  Nelly  was  preoccupied,  I'm  sorry  to  say  my  cowardice  got  the  better  of  me  and  I  crept   the  room,  down  the  stairs  and  ran  off  home.",I
AS3 1003,"If  you're  camping  in  the  wilderness  on  your  own,  don't  let  imagination  get  the  better  of  you.",I
ABK 1927,Or  did  Mr  Lawson  simply  let  his  natural  rudeness  get  the  better  of  his  judgment?,I
KRT 4289,"And  mark  my  words,  Oxford  United  will  be  at  the  top  half  of  the,  of  the  division  by  Christmas,  I  promise  you,  once  they  get  it  sorted  out,  there's  not  one  side  in  the  second  division  who  are  better  than  Oxford.",O
AKE 1137,"Indeed,  his  work  rate  is  so  high  that  his  players  are  inspired  to  perform  if  only   the  old  so-and-so  does  not  get  the  better  of  them.",I
ANA 1096,‘ That  afternoon  the  matron  of  Abigail's  hospital  rang  from  Bristol  to  tell  us  her  lungs  had  finally  got  the  better  of  her  heart  and  she'd  died  an  hour  ago.,I
AKE 1077,"Indeed,  his  work  rate  is  so  high  that  his  players  are  inspired  to  perform  if  only   the  old  so-and-so  does  not  get  the  better  of  them.",I
K1G 902,"Belcher  si  not  a  great  beer-drinker  either,  but  for  Morse  and  Dexter  there's  no  better  way  of  ending  the  day  at  the  pub,  one  of  their  favourite  haunts  is  the  Kings  Arms  where  you  might  even  get  Dexter  to  admit  he  might  actually  share  one  or  two  of  his  creation's  habits.",O
CFT 3150,So  whatever  level  of  runner  you  are  you  can't  do  better  than  get  into  the  Mizuno  powerhouse.,O
BMM 1819,"I  was  well  satisfied;  I  had  beaten  what  I  considered  to  be  a  bogey  track  for  me,  determined  not  to  let  either  the  track  or  the  stadium  get  the  better  of  me.",I
HJ3 3695,A  Spanish  driver  let  his  fiery  temper  get  the  better  of  him  when  he  was  stopped  by  police.,I
BNU 1607,"But  they  were  unable  to  spin  out  their  game  ;  impatience  got  the  better  of  them  and  they  returned  the  puppy,  which  stood  shivering  under  its  mother's  tongue  as  she  licked  it  clean  of  foreign  influences.",I
KCS 2618,"I  did  think  you  know  when  I,  when  we  go  around  and  we  look  at  some  of  these  houses  like  Barratt  houses  and  all  like  that,  I  thought  that  area  would  of  been  better  off  knocking  into  houses  and  then  you  see  they  would  be  able  to  get  the  community  charge  of  the  houses,  but  as  it's  gonna  happen  now    the  council's  gonna  have  a  lot  of  responsibility  one  way  and  another  with  er",O
G1S 113,I  allowed  my  feelings  to  get  the  better  of  me.,I
H84 1056,"But  then  her  pride  and  her  curiosity  had  got  the  better  of  her  again,  and  she  remembered  why  she  had  agreed  to  the  meeting  in  the  first  place.",I
JYA 118,"‘ No  problem,  but  if  you  want  me  in  the  village  don't  you  think  I'd  better  get  some  transport  of  my  own?",O
KRH 2289,"And  when  you  look  at  the  price  of  hiring  thirty  seconds  of  advertisement  time  on  television  and  organising  a  mass  demonstration  with  some  gratuitous  violence  which  will  get  thirty  seconds  in  a  T  V  news  broadcast,  erm  then  I  think  the  cost-efficiency  graph  shows  that  the  erm  violent  demonstration  is  the  better  way,  in  those  terms.",O
KRG 258,"It's  much  better  to  be  able  to  have  one  telephone  number  of  somebody  to  ring  up  and  say,  ‘ Hey,  the  screen's  gone  blank  and  I  don't  know  what  to  do  next, ’  and  have  somebody,  initially  over  the  telephone,  giving  you  advice,  helping  you  to  get  round  the  problem,  or,  if  necessary,  sending  round  a  service  engineer  quite  smartly.",O
G1L 2096,"However,  it  would  be  better  to  err  on  the  side  of  too  much  courtesy,  and  so,  ‘ Sire, ’  he  said  firmly,  ‘ if  there  is  a  way  to  get  you  out,  we  will  find  it . ’",O
