document,sentence,label
K97 5888,LITTLE  Laura  Davies  cannot  wait  to  start  school  after  being  given  the  all-clear  to  travel  home  following  her  double  transplant  operation  in  America  five  months  ago.,I
KE2 5012,"I  thought,  I  mean  I,  the  fire  people   gave  it  the  all  clear.",I
CAF 1449,"At  intervals,  a  whistle  rings  out  over  the  dark  lake,  giving  the  all-clear.",I
K9L 206,The  group's  remit  was  to  credit  back  all  unwanted  items  to  stores:  to  give  the  storekeeper  a  clear  list  of  who  could  order  materials:  to  identify  what  key  stores  items  should  be  kept  on  site:  and  to  monitor  every  item  received  by  the  plant  each  day.,O
CCL 16,"They  give  a  clear  picture  of  the  identity  of  Christ,  show  the  radical  all-or-nothing  nature  of  commitment  to  him,  describe  the  life  of  discipleship  as  a  corporate  not  individualistic  activity,  spell  out  the  cost  involved,  and  show  how  our  present  experience  relates  to  the  Kingdom  of  God,  which  is  both  present  and  yet  still  to  come.",O
K5J 1973,"Farr  was  given  the  all  clear  at  the  start  of  this  year  and  her  next  aim,  after  the  wedding,  is  to  get  back  to  the  tour  where,  in  1988,  she  demonstrated  promise  with  a  third-placed  finish  in  the  Mazda  Classic  and  a  41st  position  on  the  order  of  merit.",I
K1X 537,They  say  some  workers  were  allowed  back  before  a  final  all-clear  had  been  given  and  so  a  second  evacuation  was  necessary.,I
E9U 240,The  good  news  is  that  Emma  has  been  given  the  all  clear  and  regular  check  up  appointments  at  St.Bart's  and  Broomfield  Hospital  in  Chelmsford  will  make  sure  she  gets  the  right  care  from  the  experts.,I
AR0 90,Never  again  would  a  signalman  give  the  signal  that  all  was  clear.,L
K2F 1559,BELFAST'S  prestigious  Castle  Court  complex  has  been  given  the  all-clear  by  experts  worried  by  bizarre  glass  explosions  at  modern  buildings.,I
CA9 1662,when  the  all-clear  was  given  by  the  wonderfully  protective  theatre  staff.,I
AMK 374,"He  had,  after  all,  made  it  very  clear  that  the  Germans  would  never  give  up  the  Deutsche  Mark  unless  what  they  got  in  return  was  just  as  good.",O
K1N 1003,After  several  hours  the  police  gave  the  all  clear.,I
K45 1163,GRAEME  HICK  has  been  given  the  all  clear  for  Thursday's  second  Test  against  Australia  at  Lord's  despite  cracking  a  toe.,I
K97 10454,George  went  to  Alder  Hey  for  a  check-up  and  he  was  given  the  all-clear  after  an  x-ray.,I
K3X 1019,But  he  has  been  given  the  all-clear  after  an  operation  last  week  to  remove  a  second  disc  from  his  neck.,I
K4T 5602,McDermott  has  been  given  the  all  clear  after  missing  last  week's  game  at  Portsmouth   an  eye  injury  and  Childs  out  for  a  month  faces  a  late  check  on  an  injured  groin.,I
CH7 3898,SOUTH  Africa  were  yesterday  given  the  all  clear  to  enter  the  1994  World  Cup.,I
K2F 1562,"But  the  manager  CastleCourt,  Belfast's  best  known  glass  complex,  says  his  building  has  been  given  the  all-clear  following  tests.",I
CEK 4029,"She  was  on  the  very  first  Dreamflight  in  1987  as  a  leukaemia  sufferer  and  was  now  back  as  a  helper,  having  been  given  the  all-clear  this  year.",I
CBY 2386,"A  feature  of  the  bank's  statements  is  the  narrative,  designed  to  give  a  clear  indication  of  all  the  movements  on  the  account:  it  shows  the  names  of  payees  and  of  those  from  whom  payments  have  been  received.",O
CEN 6097,"Mr  Parfitt's  brother,  Phil,  confirmed  that  his  wife  had  been  worried  by  cancer  scares  —  but  had  been  given  the  all-clear.",I
K5A 2932,Chalmers  had  been  forced  to  miss  the  Sunday  practice   a  bruised  right  thigh  but  he  was  given  the  all  clear  after  yesterday's  training  to  renew  rivalries  with  the  Welsh  —  the  country  against  whom  he  was  first  capped  four  years  ago.,I
CH5 3783,But  the  SFA  have  made  it  clear  they  are  not  prepared  to  give  complete  clearance  for  all  the  games  to  be  shown  in  Scotland.,O
CH2 6984,The  all-clear  was  given  three  hours  later  after  police  confirmed  that  the  fumes  were  not  poisonous.,I
K1E 3793,Christine  has  just  been  given  the  all  clear … but  only  after  an  intensive  five  weeks  of  radiation  treatment.,I
K27 3724,"In  Gloucestershire  the  river  severn's  level  has  dropped  slightly,  but  the  national  rivers  authority  is  being  cautious  about  giving  the  all  clear.",I
CS3 648,Business  impact  upon  policy  formation  and  implementation  extends  beyond  this  veto  power  to  give  it  active  control  of  all  policy-making  relevant  to  capitalist  interests  —  as  the  detailed  sequence  and  pattern  of  extensions  to  state  intervention  in  the  modern  period  makes  clear.,O
K45 1066,GRAEME  HICK  has  been  given  the  all  clear  for  Thursday's  second  Test  against  Australia  at  Lord's  despite  cracking  a  toe.,I
E9U 323,But  he  gave  the  all  clear  after  testing  most  of  the  track  in  the  post  lunch  stroll.,I
J72 84,"This  would  give  effect  to  clauses  that  seek  to  define  the  rights  and  obligations  of  the  parties,  ,  a  clause  which  indicated  that  no  partnership  or  agency  relationship  was  created,  and  clear  clauses  would  abrogate  the  prohibition  on,  ,  self-dealing  or  the  necessity  to  disclose  all  relevant  information  to  the  customer.",O
HJ4 41,Once  the  superbike  race  was  over  McCallen  presented  himself  again  for  examination  and  the  doctors  gave  him  the  all  clear  for  the  Regal  600cc  race.,I
KBH 1290,"Cross   the  road  now  you  stand  there    stand  still,  give  me  your  other  hand    good  girl  right     now  is  it  all  clear",O
CMM 1475,"Some  people  like  to  remove  all  the  petals  to  ‘ clear  the  decks ’,  others  will  remove  just  enough  from  the  centre  to  give  enough  space  to  work.",O
CBG 38,Crosby  got  a  boost  yesterday  when  influential  midfielder  Gary  Owers  was  given  an  X-ray  all-clear  on  an  ankle  injury.,I
CHK 1023,When  David  gave  the  all  clear  the  paragliders  were  laid  out  on  the  hillside  forming  splashes  of  startling  colour  on  the  green  backdrop.,I
