document,sentence,label
H8F 2534,Goosepimples  skittered  over  Jessamy's  skin.,L
HWC 2174,A  slight  whine  and  some  slobbering  noises  brought  goosepimples  up  all  over  me.,I
BP1 1729,"The  child  gave  her  goose  pimples  and  she  never  encouraged  her  to  stay,  though  Anna  clearly  wanted  to.",I
HA5 1815,"‘ Nothing  has  happened, ’  she  whispered,  raising  her  hands  to  her  bare  arms,  trying  to  soothe  the  goose-pimples  which  marred  their  smooth  surface.",L
ARP 645,Wintertime  rolling  your  shoulders  after  a  fresh  haircut  because  you're  trying  to  retract  your  head  into  your  coat  because  your  head's  got  goosepimples.,L
AN7 876,"Someone  screamed,  a  high  shrill  piercing  noise  that  caused  her  to  break  out  in  goose  pimples.",L
KPL 587,"You  get  all,  you  get  all  ,  you  get  all  goose-pimples  on  the  back.",L
BMR 1276,"The  wind    about  the  deck,  raising  goose-bumps  on  our  bare  flesh.",L
CJJ 237,Goose  bumps  pocked  his  bare  flesh.,L
GUU 626,There  were  goose  pimples  on  her  arm.,L
JY6 1492,She  brought  her  knees   her  chest  and  wrapped  her  goose-bumped  arms  around  them.,L
C9K 273,"When  we  got  to  the  end  of  it,  Andy  Johns  had  goosebumps  on  his  arm  and  he  said,  ‘ Man,  that  was  the  track . ’",L
H8F 2642,"A  low  rumble  of  thunder  made  her  skin  break  out  in  a  fine  rash  of  goosepimples,  and  Julius  glanced  at  her  sharply  as  he  noticed  them.",L
CKB 2901,The  cupboard  smelled  slightly  of  damp  and  even  on  a  warm  summer  evening  Ginny  felt  the  prickle  of  goose  pimples  rising  on  her  bare  arms.,L
CR6 3857,The  room  was  not  very  warm  and  she  felt  goosebumps  on  her  arms.,L
AT4 3120,They  were  all  coming  out  in  goose-pimples.,U
J0W 1723,He  would  make  disparaging  remarks  about  her  goose  pimples.,L
ALJ 1180,"It  always  gave  Anne  goosebumps,  especially  when  the  unidentified  male  voice  answered  the  girls'  plea  for  Mr  Sandman  to  bring  them  a  dream  with  a  drawn-out,  ever-so-slightly  creepy  ‘ ye-e-es? ’",I
HTS 166,"The  young  men  turned  to  face  them,  panting  slightly,  their  brown  skin  specked  with  goose  pimples.",L
CCW 213,She  was  a  very  tall  and  very  fair  and  dazzlingly  beautiful  creature  whose  skin  was  goose-pimpled  under  the  impact  of  McIllvanney's  air  conditioning  which  was  set  to  a  level  that  might  have  made  a  penguin  shiver.,L
C9E 402,I  suggested  an  English  equivalent:  goose-bumps.,U
B19 318,That  set  our  teeth  on  edge  and  bring  our  goose  pimples  rising  like  porpoises  after  mackerel.,L
B3J 13,"Yanto  Gates  broke  through  the  blackthorn  hedge  which  separated  the  Severn  bank  from  the  adjacent  Berkeley  to  Gloucester  canal  towpath,  and  surveyed  the  scene  before  him  He  loved  this  river,  but  tonight,  bathed  in  this  unusually  bright  moonlight,  it  moved  him  to  the  point  of  goose  pimples.",I
HWC 2185,"I  said  loudly  and  desperately,  wondering  if  my  father  could  see  my  goosebumps.",L
H8T 2466,"Her  white,  goose-pimpled  body.",L
B7H 1884,Indeed  I  hoped  that  this  book  might  begin  to  give  some  clues  about  the  origin  of  the  tingle  or  the  goose-pimples;  but  I  was  disappointed.,I
H8H 1134,"She  had  no  idea  that  any  man  could  ever  bring  her  out  in  goose-bumps,  but  this  one  had.",I
