document,sentence,label
HL7 629,"Appointed  in  1987,  Webster  ensured  that  the  CIA  kept  a  relatively  low  profile  and  thereby  achieved  some  success  in  rehabilitating  the  tarnished  image  of  the  agency  in  the  aftermath  of  the  Iran-contra  scandal.",I
EF1 2800,She  knew  she  was  violating  her  bail  conditions  by  being  in  the  Rollercoaster  but  she  also  knew  she  would  be  perfectly  safe  if  she  kept  a  low  profile.,I
HHA 858,"Fen's  objections  to  her  presence,  should  she  stay  down  here  and  keep  a  low  profile,  or  should  she  risk  going  up  on  deck?",I
AJJ 368,"This  week  in  Georgia  he  has  been  keeping  a  low  profile,  wrapped  up  in  his  own  game  plan,  which  is  how  he  best  enjoys  life,  it  seems.",I
BNA 1170,Do  not  deliberately  keep  a  low  profile,I
CH2 9623,"Souness,  who  is  thought  to  have  made  special  plans  to  be  at  tonight's  European  Cup  Winners'  Cup  match  against  Limassol,  kept  a  low  profile  in  court.",I
ADD 891,The  relative  lack  of  resonance  of  the  boycott  can  only  have  indicated  to  Hitler  that  he  had  been  right  to  keep  a  fairly  low  public  profile  on  the  ‘ Jewish  Question ’.,I
HH3 14193,But  such  organizations  generally  prefer  to  keep  a  low  profile  as  they  peddle  Third  World  prostitution  —  hoping  to  attract  the  attention  only  of  potential  customers.,I
G3B 1161,"now  they  had  kept  a  low  profile,  but  they  were  becoming  more  militant.",I
GX1 165,"One  solution  would  be  to  shut  up  and  keep  a  low  profile;  Jeremiah  tried  to  do  that,  but … discovered  that  he  couldn't  stop  speaking.",I
AJU 103,Claims  by  Mr  Major  and  others  that  a  Labour  administration  would  be  heavily  influenced  if  not  controlled  by  the  unions  appeared  to  fall  on  deaf  ears  as  union  leaders  kept  a  low  profile.,I
CSK 269,"Ten-years  old  Data  Connection  has  until  now  kept  a  low  profile,  selling  portable  versions  of  IBM's  Systems  Network  Architecture  (SNA)  technology  to  the  likes  of  Control  Data,  Hewlett-Packard,  ICL,  Norsk  Data,  Northern  Telecom,  Prime  (deceased),  Wang  and  even  to  IBM  itself  —  though  it  won't  say  exactly  what.",I
FB0 1724,"Large  conspicuous  wooden  figures,  Dotty  and  Dolly,  and  beneath  their  knees  skulked  little  Alix  Doddridge,  creeping  quietly,  smiling  obsequiously,  keeping  a  low  profile,  longing  to  be  ordinary,  longing  with  such  passion  to  be  unnoticed,  to  be  accepted,  to  be  one  of  the  crowd,  not  Dotty's  Daughter,  with  all  that  that  implied.",I
HWE 404,"During  the  Christmas  dinner  Andrew  had  kept  a  low  profile,  ,  but  in  the  evening  he  had  played  host  under  the  admiring  gaze  of  Mrs  Emma  Funnell.",I
AJJ 854,Woosnam  names  Bernhard  Langer  as  his  ‘ dark  horse ’  and  the  German  has  succeeded  in  keeping  an  appropriately  low  profile   he  has  had  more  practice  rounds  than  anyone.,I
KCD 3684,He  keeps  a  very   low  profile.,I
CBF 3725,"Neighbours  say  he  has  kept  a  low  profile  since  moving  in,  prefering  to  stay  by  the  pool  than  go  out  on  the  town.",I
B78 440,"Despite  regular  clashes  between  the  leading  figures  in  AT  and  VPE,  Lalonde  and  Fernex,  Lalonde  is  keeping  a  low  profile.",I
ANY 857,‘  would  blame  you  if  you  wanted  to  keep  a  low  profile . ’,I
HTR 2520,But  sometimes  it's  better  to  keep  a  low  profile.,I
A6T 538,"I  decided  to  keep  a  low  profile,  after  all  I  was  a  guest.",I
CKT 999,Dealers  kept  a  low  profile:  80%  of  the  sales  went  to  private  bidders.,I
K1E 1756,"Tonight  Jamie  Robertson,  the  man  at  the  centre  of  the  row,  is  keeping  a  low  profile.",I
