document,sentence,label
CL2 2203,One  of  Hollywood's  major  strategies  in  the  face  of  all  this  was  to  recreate  the  hits  of  the  past  in  larger-than-life  packs  and  Burton  was  useful  for  that.,I
CKE 431,"Mr  and  Mrs  Beavis,  their  three  daughters  and  two  sons  were  all  larger  than  life,   young  Linda.",I
A06 1874,"Yes,  the  stage  is  larger  than  life  and  it  is  about  emotions  that  are  big  enough  to  wrap  round  you.",I
HRT 2637,",  intake  operator,  is  a  larger  than  life  character  and  is  extremely  popular  around  the  maltings,  which  is  just  as  well  when  you  see  his  size!  usually  takes  the  barley  samples  and  generally  attends  to  the  drivers.",I
BPH 955,"the  role  of  the  home  in  family  life  and  because  the  sums  involved  were  so  much  larger,  getting  behind  with  mortgage  payments  became  a  more  serious  potential  debt  trap  than  running  up  bills  at  retailers.",O
K3X 1692,Margi's  stage  persona  is  still  a  larger  than  life  version  of  the  Kirkby  girl  and  strikes  obvious  chords  with  some  of  her  audience.,I
K4E 1136,LARGER-than-life  Liberal  Democrat  Sir  Cyril  Smith  is  to  throw  his  weight  behind  an  appeal  to  raise  funds  for  repairs  to  the  fire-ravaged  offices  of  Liverpool  MP  David  Alton.,I
CDG 1478,"It  was  Peter  Ustinov,  who  shared  a  number  of  key  scenes  with  Laughton,  who  persuaded  Douglas  to  allow  him  and  Laughton  to  rewrite  their  own  scenes,  thus  placating  the  larger-than-life  Laughton.",I
CBG 5302,"And  their  larger  than  life  goalkeeper  Joe  Paladino,  born  in  St  Helens  of  Scilian  parents,  admitted:  ‘ Altrincham's  Cup  tradition  is  always  at  the  back  of  our  minds.",I
EET 2017,"Egypt  is  a  very  humbling  place,  with  its  larger-than-life  statues  and  obelisks  serenely  standing  since  before  the  time  of  Christ,  and  the  mammoth  pyramids  whose  blocks  of  stone  weigh   forty  tons  each;  this  is  a  land  which  inspires  constant  awe  and  disbelief.",I
B3K 207,IMAX  LARGER  THAN  LIVE!,I
