document,sentence,label
CK4 1981,The  British  Broadcasting  Big  Wigs  have  lost  the  plot.,I
CH1 829,"WHITE  SANDS  (Cert  15;  General)  weaves  such  layers  of  confusion,  you  might  just  lose  the  plot  completely!",I
CK4 1598,"Unfortunately,  halfway  through  it  loses  the  plot  and  its  authenticity  and  sadly  slips  into  excruciatingly  painful  white  boy  reggae  mode.",I
CGB 30,"While  we  believe  THE  FACE  to  be  a  pretentious  load  of  bollocks  that's  completely  lost  the  plot,  we  support  absolutely  your  right  to  continue  printing  such  old  tosh.",I
CK6 1676,"Back  home,  there's  ‘ The  Impossible  Dream ’  of  a  Christmas  Number  One  and  a  nagging  feeling  they  might  have  lost  the  plot.",I
CAD 3146,"Even  Guns  N'  Roses,  who  found  success  representing  free  spirit  within  the  genre,  seem  to  have  lost  the  plot  with  this  fatuous  triple  second  album  idea.",I
A18 6,A  draft  letter  to  his  publisher  Katkov  —  the  fair  copy  is  lost  —  discusses  the  plot  of  the   unwritten  .,O
B1E 309,"of  soil  per  year  were  lost  from  these  plots,  which  compares  with  less  than    per  year  from  undisturbed  forest.",O
CK5 2696,"However,  loses  the  plot  when  it  attempts  to  trace  club  culture  back  to  its  black  and  gay  roots  in  half-a-dozen  rhyming  couplets  or  explain  the  appeal  of  Ibiza  as  club  nirvana  through  two  camp  characters  who,  one  assumes,  symbolise  ‘ hedonism ’.",I
CD5 1639,"When  he's  finished  his  ballet  routine  — ‘ Lots  of  people  come  to  see  what  Joe  Mangle  is  going  to  do,  and  when  I  appear  on  stage  doing  my  best  arabesque,  you  can  feel  people  thinking  ‘ Oh  no,  he's  really  lost  the  plot ’ —  he  throws  out  a  few  one-liners.",I
CK6 1856,"Jim  Bob  very  nearly  loses  the  plot  during  the  encores,  extending  every  song  by   a  minute  with  a  series  of  unaccompanied  vocal  chants  (including  the  now  familiar  climax  to  their  version  of  ‘ Another  Brick  In  The  Wall ’:  ‘ There  is  a  song  that'll  get  on  your  nerves,  get  on  your  nerves,  GET  ON  YOUR  NERVES! ’).",I
K3E 36,Love's  labours  lost  in  a  mystery  plot  Nightmare  scenario …,O
K3E 169,Love's  labours  lost  in  a  mystery  plot  Nightmare  scenario …,O
AN3 519,"The  Junker  path  involves  the  increasing  proletarianisation  of  the  peasantry,  who  lose  their  plots  to  encroaching  landlords  (for  a  more  detailed  discussion  of  Kulak  and  Junker  paths,  see  de  Janvry  1981).",I
