document,sentence,label
C8B 34,Sometimes  it's  a  pain  in  the  neck  being  Cher.,I
ALJ 964,Then  he  felt  for  the  pain  in  his  neck.,U
G0T 1688,"Often  patients  come  with  considerable  back  or  neck  pain,  but  unless  they  can  use  the  experience  of  crying  to  look  at  the  repression  of  feeling  in  their  lives,  the  effects  of  the  massage  is  short-lived  as  the  tensions  quickly  build  up  again.",L
HPR 399,"I  was   nervous  about  that  because,  even  at  the  best  of  times,  Jean  thinks  I'm  a  pain  in  the  neck.",I
G0E 3410,"But  that  burst  of  uncontrolled  anger  had  assuaged  the  pain  in  Duvall's  head  and  neck,  had  given  him  back  that  cool  and  grim  purpose.",L
HA6 139,"‘ A  pain  in  the  neck, ’  she  retorted,  pushing  her  cash-card  towards  him.",I
EA0 109,Patients  may  complain  of  intractable  pain  in  the  neck  or  the  back  of  the  head.,L
C9R 1731,"Stressful  tension  is  not  always  apparent  to  the  person  suffering  from  it,  but  unless  it  is  released  it  can  build  up  until  physical  symptoms  are  felt:  some  of  these  may  take  the  form  of  headaches,  of  ‘ butterflies  in  the  tummy ’,  of  rapid  heart  beats,  of  a  feeling  of  pain  at  the  back  of  the  neck,  poor  sleeping,  poor  digestion,  a  pain  like  a  sharp  knife  on  the  left  side  of  the  breastbone,  shallow  breathing,  a  tightness  in  the  throat  which  can  become  quite  painful.",L
A7J 1200,"She  lay  propped  up  in  pain  and  wondered  when  it  was  she  had  begun  to  loathe  her  body  —  she  who  had  always  been  so  proud  of  her  figure  and  liked  to  pirouette   the  glass  after  stepping  from  her  clothes,  admiring  the  slim  smoothness  of  her  thighs,  the  trim  concavity  of  her  belly,  the  neatness  of  her  breasts,  her  skin  with  the  sculptured  texture  of  marble,  her  neck  slender  as  the  stem  of  a  wineglass,  and  the  bound-up  hair  in  which  fire  lurked  and  leaped.",O
C9J 872,"The  truss  rod  is  accessed  from  this  end  of  the  neck  and  so  the  fretboard  extending  in  this  way  means  that  the  truss  rod  is  either  neatly  tucked  away,  or  a  pain  to  get  to  for  adjustment's  sake,   how  you  view  the  situation.",O
CH3 3218,Now  he  has  become  a  pain  in  the  neck  to  the  establishment.,I
BNY 3,"It  is  a  cuddly  pet,  an  animal  to  be  loved  and  treasured  by  children,  or  it  is  a  real  pain  in  the  neck  —  for  Britain's  farming  community.",I
HXV 2261,"The  plaintiff  had  pain  in  her  neck,  shoulder  and  arms.",L
H0Y 2728,"2  A  habitual  collocation  of  two  or  more  words  whose  combined  meaning  is  not  deducible  from  a  knowledge  of  its  component  parts  and  of  their  grammatical  relations  to  :  He's  a  real  pain  in  the  neck,  and  I'm   to  the  teeth  with  the  mess  he's  landed  us  in.",I
HTG 894,"‘ Fellow  was  a  damn  pain  in  the  neck, ’  said  Chatterton,  ‘ and  we're  all  well  rid  of  him . ’",I
KCK 452,He's  pain  in  the  neck!,I
KBB 2576,"It  seems  to  be  a  pain  in  the  neck  me  cleaning  the    sometimes  there's  a  lot  of  dog  dirt,  on  yours   mine,  and  I,  I    and  they  were  quite  er  happy  to  do  that,  yet  it  seems  to  irritate  somebody  .",I
HTJ 3004,"So  intense  was  the  pain  in  his  neck,  flexed  almost  to  breaking  point,  that  he  almost  forgot  the  wound  in  his  chest.",L
G36 2376,But  lately  he's  been  a  real  pain  in  the  neck.,I
HRF 892,"When  the  big  night  finally  arrived,  New  York's  all-powerful  theatre  critics  raved  about  the  acting  performances,  but  the  play  soon  became,  literally,  a  pain  in  the  neck  for  its  star.",L
CH5 4885,"But  if  the  American  thought  he  had  a  pain  in  the  neck  then,  there  were  bigger  shocks  in  store",I
CA5 1894,Neck  problems  might  raise  the  question  of  who  (or  what)  is  a  ‘ pain  in  the  neck ’  in  your  life.,I
B1R 2650,Pains  in  the  neck  and  shoulders  better  (>)  heat;  cannot  move   pain,L
