document,sentence,label
B1N 614,The  families  that  lived  rent  free  on  the  Moss  had  a  price  to  pay  —  infill  of  the  boggy  terrain  for  the  Duke  of  Argyll  who  owned  the  whole  island.,O
BP1 1744,"His  weight  had  increased  since  their  marriage,  and  she  began  to  dread  his  nightly  activity,  but  she  accepted  it  without  complaint  as  the  price  she  had  to  pay  for  Corrie.",I
A70 168,"But  when  you  consider  today's  high  prices,  should  we  have  to  pay  more  —  especially  when  the  service  hasn't  been  good?",O
HHV 22784,"That  is  the  price  that  Labour  will  have  to  pay  for  its  policy,  in  the  unlikely  event  of  its  ever  being  able  to  implement  it.",I
HL1 2170,"Diro's  elevation  was,  it  appeared,  the  price  Namaliu  had  to  pay  for  continued  PAP  support  for  his  Pangu  Pati-led  coalition.",I
F9W 738,A:  hello  Mr  Parkin  this  is  Guy  Cook  here  B:  yes  A:  er  do  you  remember  um  sending  us  a  er  an  estimate  for  electrical  repairs  *  for  a  hundred  and  fifty  pounds  *  well  I've  er  just  had  a  word  with  the  Electricity  Board  with  an  engineer  called  Mr  Golding  and  he  tells  me  that  the  er  the  list  of  jobs  you  gave  us  unless  there's  any  special  circumstances  should  not  be  more  than  around  one  hundred  pounds  B:  oh  *  A:  well  he  said  he'd  have  to  look  at  it   but  er  is  there  some  special  reason  why  you  thought  it  would  cost  more    A:  well  would  you  be  prepared  to  do  it  for  the  price  he  quoted  B:  no  A:  well  why  not  B:  I  can't  afford  it  not  with  my  wages  and  overheads  £  I  have  A:  well  £  why  should  I  pay  an  extra  fifty  pounds  if  I  can  get  it  done  cheaper  *  B:  well  if  you  can  do  that  *  do,O
HH1 1638,"If  you  hadn't  decided  to  retaliate  for  my  plain-speaking,  you  would  have  been  willing  to  pay  the  price  for  my  escort  to  Winchester . ’",O
J57 1757,"There  may  be  some  discontinuity  in  policy  occasioned  by  governments  of  different  political  persuasions  pursuing  different  paths,  but  that  is  the  price  —  an  acceptable  price  —  one  has  to  pay  for  the  advantages  offered  by  the  existing  system.",I
K2P 101,"Mind  you,  you  have  to  pay  for  your  sound  equipment  over  and  above  the  list  price.",O
HNL 1064,"It  measures  the  number  of  years  taken  for  a  shareholder  to  recover  his  initial  investment  (assuming  that  all  earnings  are  distributed);  alternatively,  it  measures  the  price  an  investor  has  to  pay  to  buy  1  worth  of  income  in  the  company.",L
BN3 1016,"As  in  all  things,  a  price  has  to  be  paid  for  favours  given.",I
FRN 910,If  price  cuts  have  to  be  paid  to  all  buyers  this  reduces  their  profitability   increasing  their  detectability.,O
C8Y 2,"Bereavement  and  the  sorrow  it  brings  is  the  price  most  of  us  have  to  pay  sooner  or  later  for  the  joy  of  loving,  and  it  is  a  bill  that  the  elderly  have  usually  had  presented  to  them  several  times  in  their  lives  in  one  form  or  another.",I
HNL 1612,"At  the  end  of  every  day's  trading,  the  profits  or  losses  accruing  to  the  counterparties  as  a  result  of  that  day's  change  in  the  futures  price  have  to  be  received  or  paid.",O
HNM 946,This  is  the  price  that  an  investor  has  to  pay  for  the  possibility  that  the  share  price  may  change  to  make  the  option  in-the-money.,I
BMA 857,"Because  the  additional  quantity  of  products  which  must  flow  into  our  heavy  industry  has  to  be  taken  ,  not  from  within  the  sphere  of  heavy  industry  itself,  which  is  in  the  hands  of  the  workers'  state,  but  from  elsewhere,  from  other  external  sources,  whatever  the  price  we  have  to  pay.",U
CS0 192,And  yet  this  may  be  part  of  the  price  which  has  to  be  paid  if  a  larger  population  is  to  survive.,I
KPV 1431,"Right,  because  in  there,  if  you  pay  fifteen  pounds,  you  get  erm,  you  get  tickets  for,  you  know  you  only  have  to  pay  four  pounds,  plus  you  get  half  price  tickets  for",O
