document,sentence,label
B0L 481,"Chapman  brought  to  his  new  job  his  already  extensive  experience  of  industrial  management,  and  Langley,  reading  between  the  lines,  realized  that  such  a  dynamic  personality  would  not  remain  an  assistant  .",I
H9D 2467,"There  were  schoolfriends,  work-mates  and  (reading  between  the  lines)  girls  whom  he  had  made  love  to  (who  had,  ,  sent  their  reminiscences  to  Jackson's   to  Viola).",I
EDJ 1503,"Well,  that's  reading  between  the  lines  of  what  Stuart  told  me.",I
HGT 5326,"Robyn  took  the  sheets,  holding  them  shakingly  between  her  fingers,  and  read  enough  of  the  typewritten  lines  to  know  that  what  Luke  was  saying  was  the  truth.",O
AJ9 370,"Tesco  is  not  publicly  endorsing  any  political  party,  but  reading  between  the  lines  there  is  little  doubt  where  the  sympathies  of  Sir  Ian  and  his  top  team  lie.",I
CDE 1179,"Harriet,  reading  between  the  lines,  knew  exactly  what  her  daughter  meant.",I
J0V 457,"They  want  to  read  between  the  lines,  to  worm  their  way  into  the  subtext  and  assumptions  behind  the  presented  image,  and  to  discover  the  practices  that  are  accidentally  or  deliberately  hidden  to  view.",I
EA5 1621,‘ Yer've  only  gotta  read  between  the  lines  in  the  newspapers.,I
CDE 1276,"Harriet,  being  no  fool,  read  between  the  lines  and  knew  that  Sidney  had  been  got  at  by  his  stronger-minded  and  cynical  other  half.",I
CMR 1990,"By  reading  between  the  lines  of  textual  data  and  other  psychological  texts,  associative  feminist  psychologies  comment  on  what  is  written  into  and   psychological  discourse.",I
K8S 1678,So  wrote  Llewelyn  from  Aber;  and  between  the  lines  they  read  plainly  that  though  he  might  still  be  arguing  for  peace  he  had  ceased  to  believe  in  it  or  greatly  to  desire  it.,I
HJ7 412,"Reading  between  the  lines,  the  tribunal  may  have  suspected  that  the  employer  was  merely  using  the  sentence  as  a  convenient  excuse  for  getting  rid  of  a  man  whose  record  was  not  unblemished.",I
CD9 135,"What  one  can  read  between  the    lines  was  that  Jackie  wasn't  yet  a  champion,  that  he  knew  he  was  good  enough  to  be  one  and  that  the  pressures  and  opportunities  to  make  money  were  too  good  to  be  passed  up.",I
CRR 256,"Reading  between  the  lines,  it  would  appear  that  the  inconvenient  placement  of  John  Brown  at  Ardersier,  and  the  unwillingness  of  the  supervisor  to  station  Mr.  Leitch  in  his  home  town,  may  have  been  prompted  by  the  suspicion  of  a  conflict  of  interest  between  the  duties  of  an  officer  charged  with  the  prevention  of  smuggling  and  the  keeper  of  an  inn.",I
FAE 129,"On  the  other  hand,  if  one  reads  between  the  lines,  or  simply  attends  with  care  to  domestic  allusions,  signs  of  incipient  change  are  numerous.",I
CTW 1282,"Only  very  occasionally  is  it  possible  to  read  between  the  lines,  as  in  one  instance  at  South  Luffenham,  where  Henry  Bonytt,  as  the  sole  tenant  of  freeholder  Edward  Sapcote,  presumably  held  a  lease;  he  also  had  10s.  a  year  in  land  and  a  subtenant  called  William  Clark,  who  must   have  held  from  him  by  lease,  if  not  from  year  to  year.",I
J17 974,I  can't  help  reading  between  the  lines  of  his  letters  to  Serafin.,I
G3B 774,"He  wrote  home  often,  trying  to  keep  his  family's  spirits  up,  but  between  the  lines  one  could  read  that  life  was  not  good.",I
AR7 1419,Reading  between  the  lines,I
GVP 3067,"‘ Reading  between  the  lines, ’  said  Melissa,  ‘ I  think  he  suspects  her  of  killing  Alain  Gebrec,  mistaking  him  for  Erdle . ’",I
CTW 1236,Frequently  it  is  necessary  to  read  between  the  lines.,I
CK4 192,NAKED  TRUTH:  ‘ Read  Between  The  Lines ’  Atlanta-based  jazz  thrash  exponents  offer  a  triple  track  EP  to  follow  their  recent  mini-album  ‘ Green  With  Rage ’,I
J78 628,"That  depends,  ,  on  how  the  ordinary  decent  reader  interprets  the  words,  "" reading  between  the  lines   his  general  knowledge  and  experience  of  worldly  affairs "" .",I
CK5 974,"There's  no  given  word  that  UFOs  and  aliens  exist,  but  if  you  read  between  the  lines,  a  hell  of  a  lot  of  things  have  been  taken  away  and  readjusted.",I
CMM 368,It  is  difficult  to  find  out  about  such  things;  catalogues  need  to  be  read  between  the  lines  and  the  shows  are  full  of  razzmatazz.,I
H85 2111,You  could  read  between  the  lines  and  many  would.,I
CSN 279,"Reading  between  the  lines,  insiders  say  Unix  International  needs  its  ABI  and  branding  effort  to  succeed  —  see  front  page  —  to  justify  its  continued  existence.",I
AJ3 682,"‘ I  have  read  between  the  lines  of  the  German  decision,  but  I  cannot  see  any  new  facts  to  support  this  change  of  heart.",I
FT8 680,"There  were  850  complaints  about  computer  and  software  advertising  in  1992,  so  it  pays  to  be  able  to  read  between  the  lines  of  an  advert.",I
ECH 934,"Although  both  climbs  currently  bear  the  grade  E1  5b,  a  little  reading  between  the  lines  reveals  them  to  be  less  comparable  in  difficulty  than  this  might  indicate.",I
JXU 3855,"But,  reading  between  the  lines,  I  think  Marc's  going  to  stand  by  him . ’",I
