document,sentence,label
CE9 669,"He  stopped  dead  in  his  tracks,  rooted  to  the  spot  with  horror.",I
FU8 716,"Their  anxiety  rooted  Joseph  to  the  spot  for  a  moment;  then,  desperate  to  make  amends  for  his  clumsiness,  he  flung  himself  through  the  doorway  in  pursuit.",I
FP6 2048,"I'm  trembling,  rooted  to  the  spot.",I
CF4 576,"Others,  clutching  large  and  not  so  large  towels  to  their  exposed  crotches,  stood  rooted  to  the  spot  appalled.",I
C9N 1907,"After  all,  you  don't  want  to  be  rooted  to  the  spot   a  microphone  —  you  want  to  !",I
CCP 969,"And  now,  what  had  previously  been  the  focus  of  my  attention  —  the  Nant  Gwynant  Horseshoe  from  Pont  Bethania  by  the  main  road  at  Nant  Gwynant  —  seemed  to  be  lightyears   my  reached  as  I  stayed  rooted  to  the  spot,  hypnotised  by  the  lights  of  the  pantechnicon  backpedalling  menacingly  towards  me.",I
H8H 2602,"Dignity  right  now  seemed   optimistic,  when  she  could  feel  her  eyes  blurring  over  with  tears,  but  anything  was  better  than  standing  here  at  the  foot  of  the  stairs,  rooted  to  the  spot  and  subjected  mercilessly  to  his  naked  inspection  of  her.",I
CA9 506,"The  dragon  looks  fearsome,  but  it's  rooted  to  the  spot  and  not  very  intelligent,  so  doesn't  present  much  of  a  problem.",I
BPA 2425,"Horror-struck,  she  was  rooted  to  the  spot  with  terror,  her  eyes  drawn  to  the  top  of  the  stairs,  waiting  for  the  first  sign.",I
CEC 2069,Ashi  found  herself  rooted  to  the  spot  in  disbelief  as  she  watched  the  threshing  legs  of  her  daughter.,I
CLK 494,"If  this  is  passed,  they  stand  shivering  with  fear,  rooted  to  the  spot.",I
CLK 2051,".,  fear  effects  have  caused  people  to  be  rooted  to  the  spot,  they're  trying  to  talk  to  the  Ghost,  etc)  then  the  spirit  is  a  dangerous  opponent.",I
CBC 6015,An  accountant  is  rooted  to  the  spot  as  sheets  of  glass  plummet  towards  her.,I
JXT 3380,"Ronni  jerked  against  him,  feeling  a  sensation  like  sheet  lightning  root  her  to  the  spot.",I
JY5 3304,The  blood  ran  cold  in  Rory's  veins  as  she  stood  rooted  to  the  spot  in  horror.,I
A61 710,The  cap  badge  with  its  St  Andrew's  Cross  split  in  two  brought  a  lump  to  my  throat  as  I  stood  rooted  to  the  spot.,I
