document,sentence,label
HTJ 2378,‘ Here's  the  man  who  saved  the  day  for  me.,I
FT9 670,"In  the  one-day  game,  the  priority  is  to  save  every  run,  and  it  is  the  outfielder  who  assumes  hey  importance.",O
CA3 2902,"You  move  on,  and  thank  you,  and  I'm  sorry  if  you've  been  disturbed,  and  I'm  sorry  about  Demian,  and  I  shall  shed  the  deceptively  comforting  skin  of  this  house,  and  all  will  be  well,  Larry,  you  shall  see,  the  estate  agent  will  save  the  day  in  the  end . ’",I
CN1 1616,"’  he  said,  ‘ I  don't  know  what  was  in  that  flame  pot  of  yours  but  it  undoubtedly  saved  the  day  and  many  noble  lives.",I
HH6 1416,All  these  measures  will  save  fuel  and  many  thermostats  can  also  be  used   a  programmer  to  bring  the  hot  water  heating  on  only  at  certain  times  of  the  day.,O
JY3 3525,"In  all  the  euphoria  following  the  successful  birth,  and  the  tea-  and  sandwich-making  with  Mrs  Chalk  afterwards,  she'd  gone  quietly   everyone's  air  of  respectful  gratitude  for  Guy,  who'd  saved  the  day,  whisked  Lucy  to  hospital,  kept  everyone  calm  and  optimistic,  loomed  in  the  background  like  a  rock  of  dependable  strength.",I
EBP 62,"A  French  attack  was  mounted  on  the  duchy  of  Aquitaine,  but  the  day  was  saved  by  the  able  lieutenancy  exercised  there  by  Richard  of  Cornwall,  and  by  large  loans  to  him  from  the  cities  of  Bordeaux  and  Bayonne.",I
G33 402,"When  their  prey  species  are  inactive,  cats  may   save  energy,  because  they  are  unlikely  to  be  successful  in  hunting,  and  so  they  rest  and  sleep  for  most  of  the  day.",O
K5J 4669,"Had  the  player  not  been  defied  by  a  remarkable  save  by  Kopke,  Ferguson's  value  would  have  soared  in  time  for  the  day  when  Dundee  United  are  finally  made  the  offer  they  cannot  refuse.",O
G1L 918,"And  while  nobody  wanted  precisely  to  abandon  the   which  everybody  enjoyed  so  much,  there  was  really  no  reason  why  they  could  not  play  it  with  the  Gnomes  tonight  and  save  Fenella  for  tomorrow,  or  even  the  day  after.",O
K24 227,it  was  the  same  in  the  second  half … the  save  of  the  game  stopped  an  equaliser  from  Joey  Beauchamp … and  after  that  well  the  United  players  just  had  to  accept  it  wasn't  going  to  be  their  day …,O
B03 1137,"Secondly,  to  the  instinctive  political  sense  of  the  electorate,  which,  all  too  well  aware  of  what  was  at  stake,  itself  took  charge  of  the  situation,  regardless  of  underlying  allegiances,  and  saved  the  day,  also  leaving  Labour  in  a  state  of  profound  shock.",I
K4T 1007,Chocolate  soldier  saves  the  day,I
