document,sentence,label
A5C 103,"He  said  he  could  not  serve  on  that  sub-committeee  (consisting  of  Brian  Close,  Bob  Appleyard,  Phil  Sharpe,  Bryan  Stott,  Tony  Woodhouse) ‘ when  I  do  not  see  eye  to  eye  with  them  on  any  subject ’.",I
EF1 799,We  may  not  have  always  seen  eye  to  eye  in  the  past  but  I  have  great  respect  for  him  nevertheless . ’,I
ADG 431,"I  don't  see  why  I  shouldn't  look  people  in  the  eye;  I've  as  much  right  to  walk  the  street  as  they  have,  haven't  I?",O
CDF 1659,He  wants  us  to  develop  our  own  line  of  ready-bottled  cocktails:  I  can  see  he's  got  his  eye  on  a  new  bottling  plant!,O
B32 1984,Every  thirteen  years  the  eye  needs  double  the  amount  of  light  to  see  so  good  lighting  is  very  important  in  making  the  most  of  sight.,O
CET 619,"The  interesting  point  is  that  the  Greeks  were  certainly  able  to  see  Merope  with  the  naked  eye,  whereas  today  this  is  virtually  impossible.",O
B7D 849,"Casual  observers  tend  to  see  what  they  expect  to  see,  and  naked-eye  observations  of  the  full  Moon  are  a  case  in  point.",O
H0F 1119,"The  view  from  the  window  is  spectacular  —  wall  as  far  as  the  eye  can  see,  in  every  shade  of  red  from  brick  to  sooty  maroon.",O
FNY 600,In  the  summer  of  1846  Charlotte  took  me  to  see  an  eye  doctor  in  Manchester.,O
C8Y 1182,"Occasionally  it  can  be  achieved  by  two  very  different  people  who  may  not  see  eye  to  eye  on  a  lot  of  things,  but  who  are  determined  to  try  to  respect  and  understand   for  the  sake  of  the  man  they  both  love.",I
ATE 2507,"‘ Then  I'd  like  to  see  the  doctor, ’  said  Jim,  meeting  her  eye.",O
A8C 130,"C:  So  on  the  overseas-darkie-star  issue,  suddenly  you  and  Fred  Trueman  see  eye  to  eye?",I
HAE 3481,LOVING  LOOK:  Torvill  and  Dean  see  eye  to  eye  in  their  act,I
AA9 587,"Somewhere  along  the  line,  Cat  and  Prince's  Paisley  Park  organisation  couldn't  see  eye  to  eye.",I
ARR 1078,"Some  biologists  go  so  far  as  to  see  DNA  as  a  device  used  by  organisms  to  reproduce  themselves,  just  as  an  eye  is  a  device  used  by  organisms  to  see!",O
HTG 2053,‘ I  had  the  impression  that  you  didn't  see  eye  to  eye  on  how  the  club  should  be  run . ’,I
JXY 2365,All  Rachel  could  see  in  her  mind's  eye  was  Irene  Markham's  gaunt  features  on  the  day  when  she'd  gone  to  Brooklands  to  pick  David  up.,O
FR9 1217,"my  keen  eye  for  spotting  talent,  where  others  see  only  incompetence,  has  sparkled  in  bringing  Ubahni  Singh  to  the  club.",O
K1G 1425,"The  two  have  never  seen  eye  to  eye  apparently  and  although  some  papers  called  him  a  hothead,  Horton  insists  he  wasn't  going  to  have  a  go  at  the  ref,  who  was  given  a  police  escort  back  to  the  dressing  rooms.",I
G32 857,You  step  into  this  world  by  wearing  ‘ eye-phones ’  in  which  your  eyes  see  two  miniature  video  screens  linked  to  a  powerful  computer.,O
CBJ 358,There  are  just  the  odd  hints  here  and  there  that  John  and  Ann  did  not  always  see  eye-to-eye  on  religious  matters.,I
HJ3 315,"Reynolds  and  Paul  Newman  see  eye  to  eye,  especially  on  the  question  of  support  for  the  camp  project,  and  it  would  be  an  ideal  occasion  for  such  a  visit . ’",I
ARJ 201,‘ It  was  an  extremely  popular  programme  and  we  always  saw  eye  to  eye  about  it.,I
CBN 1680,"Sien  came  in  to  see  him  on  visiting  days,  and  she  was  keeping  an  eye  on  the  studio.",O
F99 2941,"Then  a  movement  caught  her  eye,  and  she  looked  to  see  Adam  coming  warily  round  the  car,  Undry  in  his  hands.",O
H9X 81,"There  were  moments  when  he  took  on  too  much;  and  although  I  pursued  the  matter  of  our  volume  only  because  he  had  invited  me  to  do  so,  I  soon  realized  that  I  was  asking  more  than  I  should  have  done,  especially  as  I  was  uncertain  at  any  moment  whether  my  collaborators  saw  eye  to  eye  with  me  about  the  scope  of  our  project.",I
APW 240,"He  glanced  aside  at  his  grandfather,  to  see  the  old  man's  eye  on  him.",O
FPM 1973,But  then  those  two  don't  see  eye  to  eye  about  anything  these  days.,I
K5F 1311,The  portly  Breton  was  standing  in  the  town  in  yesterday's  parliamentary  elections  but  it  would  appear  that  he  does  not  see  eye  to  eye  with  local  activists.,I
EFT 290,"And  if  an  objective  moral  standard  is  thrown  over,  what  is  to  stop  the  majority  in  society  —  or  even  a  minority  in  power  —  from  putting  away  in  a  mental  institution  those  who  do  not  see  eye  to  eye  with  them  until  they  are  "" cured "" ?",I
EFW 807,"The  garrison  kept  an  eye  on  the  Collector's  bedroom,  expecting  to  see  his  face  appear  for  an  inspection  of  Harry's  work.",O
K4L 514,THE  family  of  little  Sam  Hayton  are  racing  against  time  to  raise  the  cash  required  for  pioneering  eye  surgery  to  enable  him  to  see.,O
HRP 149,"No  peering  at  various  heights  to  see  what  my  ‘ eye ’  can  manage  to  ‘ see ’ … but  a  really  close  examination,  even  to  holding  some  paintings   a  better  light  when  required.",O
AC3 5,He  believed  they  might  not  be  able  to  see  the  scratches  on  his  face  or  the  vestiges  of  a  black  eye  that  way.,O
FT7 198,"Liberman  found  in  Penn  what  he  considered  the  essence  of  an  original  photographer,  ‘ a  mind,  and  an  eye  that  knew  what  it  wanted  to  see ’.",O
ANU 519,"‘ The  British  mandate  censor,  a  Jewish  man  called  Arieh  Siev  —  a  nice  fellow  although  we  never  saw  eye-to-eye  —  refused  to  let  us  print.",I
B21 502,"When  it  has  gone  past,  I  will  turn  my  inner  eye  to  see  its  path.",O
JXU 581,And  if  he  didn't  do  that  she  couldn't  possibly  see  how  they  would  ever  see  eye  to  eye.,I
EFJ 457,"‘ Mr  Evans  doesn't  like  to  see  it  down, ’  she  explained  when  she  caught  Carrie's  eye.",O
AC5 2192,"It  was  smelly  inside,  made  you  feel   you  were  choking  to  death  and  the  eye-holes  so  small  you  couldn't  see  out  properly.",O
HTT 2743,"Relationships  were  just  too  difficult,  the  sexes  would  never  see  eye  to  eye,  it  was  all  too  much  bother.",I
HA1 1890,"They  thought  about  distribution,  and  Harris  went  to  see  Brian  Moore  whose  Moore-Harness  operation  had  put  Private  Eye  on  the  road  to  money.",O
BMM 90,"I  could  see    him   the  corner  of  my  eye  and  I  thought,  I'm  going  to  stick  with  him.",O
HH3 7682,Just  enough  to  see  a  nose  and  one  eye.,O
JYE 183,I've  had  my  eye  on  something  and  I'd  like  to  see  if  it's  still  there . ’,O
F9X 1571,"Images  that  fill  the  corridor,  packed  with  images  too  small  to  see  with  the  naked  eye.",O
B2F 288,To  some  extent  what  constitutes  a  helpful  and  what  constitutes  an  unhelpful  behaviour  is  in  the  eye  of  the  beholder  (see   on  page  46).,O
FED 33,"When  the  image  presented  to  each  eye  is  not  the  same,  a  state  of  rivalry  may  exist  which  is  resolved   each  eye  alternately  (see  Walker,  1978).",O
FA2 339,"Like  other  frontier  peoples,  the  French  Basques  have  not  always  seen  eye  to  eye  with  Paris.",I
CA9 499,I've  never  had  any  difficulty  sleeping  and  I  try  to  stay  awake  long  enough  to  see  the  cancer  in  my  mind's  eye.,O
HTN 2714,"the  corner  of  her  eye  she  looked,  though,  to  see  if  her  father  was  angry  at  the  idea  of  a  mere  woman  knowing  the  Words.",O
H7E 2351,"When  it  was  Lord  Thurso's  time  to  speak  he  was  able  to  joke "" Your  Territorial  Commander  and  I  see  eye  to  eye.",I
CEG 329,The  whiskers  were  too  small  to  see  with  the  naked  eye  and  nobody  could  possibly  make  a  testing  machine  on  that  scale.,O
K54 6334,The  non-political  event  was  organised  by  local  doctor  John  Apps  who  wants  to  see  free  health  service  eye  and  dental  checks  and  cheaper  prescriptions.,O
FU2 258,""" You  ought  to  be  able  to  see  that  with  half  an  eye.",O
EFR 247,Some  protistans  are  just  large  enough  to  see  with  the  naked  eye.,O
CHG 1538,My  wife  and  I  could  never  see  eye  to  eye  on  the  business  of  living.,I
JYE 1179,"‘ This  one  wanted  to  do  my  work,  but  when  he  started  telling  me  that  personally  he  was  against  all  pet  shops  and  would  like  to  see  them  closed  we  didn't  exactly  see  eye  to  eye.",
