document,sentence,label
B74 1251,"Hackers  talking  about  their  preoccupation  may  have  glazed  eyes,  they  can  see  the  true  Light  at  the  end  of  their  programming  tunnel.",I
A3J 8,"‘ The  basic  problem  is  that  everything  has  been  pushed  out,  and  we  can't  see  the  light  at  the  end  of  the  tunnel,  which  is  bad  for  shares.",I
E9Y 1168,"By  a  week  before  Christmas,  I  was  beginning  to  see  my  way  across  the  spare  bedroom  at  home,  or  the  stockroom  as  my  other  half  styles  it,  and  light  at  the  end  of  the  tunnel.",I
AHJ 516,"Few  see  light  at  the  end  of  the  tunnel,  whatever  the  election  result.",I
G3C 2039,he's  beginning  to  see  the  light  at  the  end  of  the  tunnel.,I
CKC 3165,I  think  I  see  a  faint  light  at  the  end  of  the  tunnel . ’,I
KRH 355,"But  certainly  at  the  moment,  erm  and   until  presumably  the  next  general  election,  erm  nobody  can  see  much  light  at  the  end  of  that  tunnel.",I
K4T 7573,"‘ It's  difficult  to  see  any  light  at  the  end  of  the  tunnel, ’  says  Crossman.",I
CBG 2905,"I  would  have  liked  to  have  done  better  in  the  League  this  season,  but  I  can  see  light  at  the  end  of  the  tunnel  now.",I
G3L 124,As  they  were  forced  to  respond  to  the  pressure  for  constitutional  change  the  established  interests  saw  a  glint  of  light  at  the  end  of  the  political  tunnel  and  came  to  entertain  the  hope  that  if  the  middle  classes  were  allowed  a  subordinate  share  of  power  then  they  just  might  turn  from  being  poachers  to  gamekeepers  of  the  system  and  so  side  with  the  aristocracy  in  helping  to  keep  the  working  classes  in  order.,I
HWX 2039,he's  beginning  to  see  the  light  at  the  end  of  the  tunnel.,I
K3X 823,They're  jockeying  for  position  the  moment  they  see  the  light  at  the  end  of  the  tunnel.,I
