document,sentence,label
AK9 495,"AS  OPPOSITION  to  the  palace  coup  in  Peru  mounts  inside  and  outside  the  country,  it  seems  President  Alberto  Fujimori,  by  turning  the  guns  of  dictatorship  against  his  own  government,  has  succeeded  only  in  shooting  himself  in  the  foot.",I
K2N 257,"Yet  when  Labour's  prospects  are  rosiest,  it  always  seems  to  shoot  itself  in  the  foot.",I
HJG 343,"Reports  had  it  he  thought  Ray  Floyd  had  shot  the  US  side  in  the  foot  by  selecting  Tom  Watson  as  a  "" wild  card ""  choice  but  the  British  crowds  gave  this  five-time  pen  Champion  the  biggest  cheer  of  any  American.",O
CEP 2710,He  said:  ‘ I  haven't  got  a  grandmother  but  if  I  had  one  I  would  shoot  her  in  the  foot  if  it  meant  getting  three  points . ’,O
A47 86,"The  British  penchant  for  shooting  themselves  in  the  foot  emerged  again  when  officials  decided  that  professionals  who  resided  and  worked  outside  Britain  were  ineligible  to  play,  although  they  qualified  by  birth.",I
K52 4943,"Hankin  put  on  both  substitutes  at  the  start  of  the  second  half  and  the  move  almost  paid  dividends  after  53  minutes  when  Toman  split  the  defence  perfectly  to  find  John  Borthwick  in  the  area,  but  the  substitute's  left-foot  shot  was  well  saved.",O
CCS 220,"The  only  commando  casualty  before  the  Force  set  sail  for  an  uneventful  passage  home,  was  an  officer  accidentally  shot  in  the  foot.",O
CKA 936,This  is  another  classic  example  of  our  ability  to  shoot  ourselves  in  the  feet.,I
K5H 1841,"Another  leisure  analyst,  who  declined  to  be  named,  said  Airtours  had  ‘ shot  itself  in  the  foot ’  by  announcing  only  last  Monday  estimated  cost  savings  of  £20  million  in  the  1993/94  financial  year  if  the  merger  went  unconditional.",I
AKE 1403,"The  Army  backs  also  had  their  moments,  but  too  often  the  soldiers  shot  themselves  in  the  foot  as  the  critical  pass  was  dropped  or  the  wrong  option  taken.",I
HAE 3623,He  does  seem  to  keep  shooting  himself  in  the  foot . ’,I
CBF 5806,‘ If  I  was  to  insult  the  contestants  I  would  be  shooting  myself  in  the  foot.,I
CHB 2706,"He  certainly  shot  himself  in  the  foot,  pulling   Glastonbury  and  playing  Finsbury  Park.",I
B2H 732,He  had  a  hard  shot  in  either  foot  and  his  ball  control  was  excellent.,O
CTS 58,"The  explanation  has  to  be  that  the  company  shot  itself  in  the  foot  by  announcing  the  Sparcsystem  10  machines  with  such  a  long  lead  time,  many  would-be  customers  are  holding  back  and  waiting  for  them,  and  that  things  will  not  really  start  to  pick  up  until  those  start  shipping  around  September  time  —  which  suggests  that  dullness  will  continue  for  the  current  quarter.",I
K5H 1090,"We  are  in  an  interesting  position,  where  we  could  shoot  ourselves  in  the  foot  —  but  we  want  to  grow  our  own  business,  here  in  Newtonmore . ’",I
A3Y 96,"But  I  don't  see  why  they  should  be  asked  to  shoot  themselves  in  the  foot  by  paying  to  train  a  competitor's  workforce,  and  neither  do  they! ’",I
AMY 826,The  ball  should  be  played  nearer  the  right  foot  than  in  other  shots.,O
A9R 35,"Three  minutes  into  the  second-half  the  non-Leaguers'  obligatory  fireman,  Mottashed,   shooting  himself  in  the  foot,  set  fire  to  himself  with  a  jittery  own  goal  and  Loram  shortly  made  it  3-1,  deader  than  dead.",I
