document,sentence,label
ALW 206,This  troubleshooting  record   stood  Worswick  in  good  stead  when  he  was  considered  as  a  candidate  to  head  the  increasingly  market-oriented  LGC.,I
ATA 1464,"It  was  because  the  Communist  Party  fed  me,  that  my  learning  stood  me  in  good  stead  and  I  know   this  much  and  I  live  like  this.",I
A90 280,On  the  home  front  his  business  experiences  should  stand  him  in  more  than  good  stead:  cobblers  is  the  stock-in-trade  of  most  cricket  committees.,I
H9H 2388,"I've  experienced  more  now,  and  it's  going  to  stand  me  in  good  stead.",I
A6L 1646,But  the  lessons  he  learned  from  those  formative  years  were  to  stand  him  in  good  stead  later  on  when  he  was  to  understand  what  it  meant  to  be  a  director  from  first-hand  experience.,I
HY7 670,"It  had  done  him  no  good,  but  the  same  quality  was  to  stand  him  in  good  stead  when  he  turned   international  relations  to  the  many  domestic  difficulties  which  the  war  had  engendered  or  highlighted.",I
A6L 331,"Conran  is  convinced,  too,  that  his  experience  of  manufacturing  in  the  early  days  has  stood  him  in  good  stead  as  head  of  a  retailing  empire.",I
A9W 334,"‘ His  investigative  talent,  which  he  displayed  in  this  instance,  will   stand  him  in  good  stead  in  the  future  and  I  hope  that  he  will  have  a  long  and  distinguished  career, ’  he  said.",I
BNA 1160,"A  polite  and  considered  approach,  avoiding  outright  confrontation,  will  stand  you  in  better  stead.",I
BMM 214,"I  believe  that  it  was  a  good  inheritance,  and  one  that  has  stood  me  in  good  stead  all  my  life.",I
F9U 1338,"Minton,  perceiving  Cornish's  shyness,  made  him  answer  most  of  the  questions  and  listened  attentively  to  his  replies,  thereby  forcing  Cornish  through  the  shyness  barrier,  an  experience  he  ever  afterwards  felt  stood  him  in  good  stead.",I
K5A 5160,‘ The  adrenalin  was  pumping  and  my  experience  should  have  stood  me  in  good  stead.,I
ADM 2024,"As  a  small  boy,  I  devised  my  own  set  of  cartoon  animals,  and  they  now  stood  me  in  good  stead.",I
ADR 297,She  is  the  first  to  admit  that  she  was  bitten  by  the  Puppy  Love  bug  from  quite  an  early  age  —  which  stood  her  in  good  stead  when  it  came  to  dealing  with  the  opposite  sex  in  later  years.,I
K3H 1536,It's  stood  me  in  good  stead  and  I'll  keep  doing  it.,I
AL3 678,His  background  with  the  round  ball  has  stood  him  in  good  stead  in  becoming  one  of  the  country's  leading  goal-kickers.,I
H8J 1874,"Her  eyes  widened  and  for  a  moment  she  looked  scared,  but  her  model's  training  stood  her  in  good  stead  and  she  showed  no  other  sign  of  what  must  have  been  a  shock.",I
ASW 1329,",  he  was  able  to  take  part  in  furious  knockabout  tournaments  (Henry  had  banned  them  in  England,  deeming  them  a  threat  to  public  order)  and  this  early  training  stood  Richard  in  good  stead  in  later  life.",I
