document,sentence,label
CBF 7958,American  singer  Gloria  Estefan  and  Bolshoi  Ballet  stars  Yuri  Klevtsov  and  Madezhda  Gracheva  stole  the  show   a  West  End  audience  which  included  Prince  Charles  and  Princess  Diana.,I
CK6 613,There  is  no  question  that  Ministry  stole  the  show  at  Lollapalooza.,I
HJ3 1797,"Earlier  this  month  the  sides  played  a  draw  in  Limerick,  the  big  Ballycastle  clubman  stealing  the  show  with  a  virtuoso  display  in  the  middle  of  the  field.",I
CH3 7665,Shaun  Edwards  chipped  in  with  his  18th  try  of  the  season  but  it  was  the  Wigan  fans'  new  hero  —  18-year-old  winger  Jason  ‘ Billy  Whizz ’  Robinson  —  who  stole  the  show  with  two  tries.,I
CLV 896,"But,  even  taking  all  the  above  mentioned  aircraft  into  consideration,  just  two  aircraft  stole  the  show  and  grabbed  the  enthusiast  and  public  attention  during  the  week  of  the  Convention,  the  !",I
CKM 361,"Nevertheless,  it  was  Nestor  who  stole  the  show … and  how.",I
CEM 540,Diana  had  stolen  the  show  again.,I
CH2 6772,But  there  was  no  doubt  about  who  stole  the  show  —  the  royal  stand-in.,I
EFS 25,"( This  was  a  circumstance  paralleled  at  his  own  funeral,  when  the  friends  and  relations  of  the  woman  he'd  been  living  with  for  part  of  the  week  since  the  early  1960s  stole  the  show  from  us,  the  pathetic  huddle  of  the  family  of  his  middle  years . )",I
HJ3 2478,It  was  only  his  second  international  but  again  out  half  Eric  Elwood  stole  the  show  with  a  marvellous  and  mature  performance.,I
K4T 575,"MIDDLESBROUGH  and  Cleveland  Harriers  stole  the  show  with  all  four  individual  winners  and  two  team  gold  medals  in  yesterday's  Durham  Association  of  Boys'  Clubs  cross  country  championships  at  Aykley  Heads,  Durham.",I
CH7 4671,"But  tyros  like  Graeme  Hick,  Robin  Smith  and  Neil  Fairbrother  stole  the  show.",I
A7P 842,"Lindsey  Ahmet  (far  left)  and  Natalie  Stirrup  (left)  both  3½,  stole  the  show!",I
K4T 9128,And  the  devastating  duo  are  set  to  steal  the  show  in  the  Debmat  Diamonds'  full  strength  line-up.,I
HSL 825,"Katherine  is  shown  to  be  all  artifice,  a  Superbitch  in  the  traditional  Hollywood  mould  and  here  the  Divine  Sigourney  steals  the  show.",I
CBC 3621,Mr  Bodison  all  but  steals  the  show.,I
AKB 227,"A  large  band  played  faultlessly  behind  the  heroes,  the  hits  just  kept  on  coming,  and  Johnny  Cash  stole  the  show  with  some  country  harmonica  on  an  encore  of  Orange  Blossom  Special  that  huffed  and  puffed  like  a  steam  engine  on  a  frosty  morning.",I
K32 2724,But  last  month  when  the  Ulster  champions  qualified  for  only  their  second  All  Ireland  decider  the  24-year-old  barrister  stole  the  show.,I
AYM 112,"Steve  Martin's  manically  over-conscientious  dad  steals  the  show,  whether  the  news  that  his  small,  diffident  young  son  needs  psychiatric  help  or  chewing  the  pitch  as  his  offspring  fumbles  at  baseball,  and  entertaining  at  a  kids'  party  as  an  unconvincing  cowboy.",I
K55 2958,Stockton  band  The  Motive  stole  the  show  at  The  Northern  Echo's  Talent  92  Search  for  a  Star  contest  held  at  The  Mall  nightclub.,I
HJ3 2050,"Antrim  went  into  the  Limerick  match  with  a  restructured  attack,  and  it  paid  dividends  with  centre  half  forward  Gary  O'Kane  and  Terence  McNaughton  hurling  superbly,  and  Paul  McKillen  stealing  the  show  in  midfield.",I
K45 396,Young  Swift  stole  the  show  with  his  medium  pacers  that  had  Formby  on  the  rack.,I
CB4 1404,"As  ever,  although  one  shoe  steals  the  show,  there  six  a  healthy  supporting  cast  of  new  characters  in  the  top  selling  technical  range.",I
