document,sentence,label
JXV 2350,"Yes,  wherever  you  go,  Fran,  I  go  too … and  all  strictly  in  the  line  of  business,   . ’",O
HA7 621,"Strictly  business  it  might  be,  but  even  in  the  tightest  schedule  there  were  small  gaps  —  moments  that  could  foster  an  ongoing  intimacy  or  become  fraught  with  an  antagonism  which  seemed  to  be  growing  between  them.",I
GT0 920,"‘ We  were  in  racing,  not  for  glory  and  heroics  but  strictly  for  business . ’",I
ABD 943,"Though  not  strictly  a  member  of  the  cabinet,  Mr  Ozawa  has  given  the  prime  minister  considerable  support  and  has  in  effect  run  the  government's  day-to-day  business.",O
HGM 371,"Both  she  and  Ace  had  kept  their  inevitable  contact  strictly  business;  in  fact  she  had  to  be  impressed  with  his  total  single-mindedness  with  his  job,  finding  in  his  perfectionist  attitude  an  answering  chord  within  herself.",I
CD3 14,"‘ Generally  speaking  most  tradesmen  have  some  ways  peculiar  to  themselves  which  they  either  derived  from  masters  who  taught  them  or  from  the  experience  of  things  or  from  something  in  the  course  of  business ’,  but  this  did  not  strictly  apply  to  undertakers ,",O
K94 1183,"Although  business  gifts  are  not  strictly  speaking  sales  promotions,  they  are  relevant  to  this  section.",O
B24 1802,Peter  Woodhouse  of  the  Liverpool  Police … she  told  the    police  that  she  did  not  think  her  husband  was  carrying  out  a  strictly  honest  business.,O
B1W 1619,Euro-dollar  business  booked  in  IBFs  while  not  strictly  ‘ foreign ’  will  be  similar  to  business  booked  in  foreign  branches  of  US  banks  in  London  or  elsewhere.,O
H8S 1288,"‘ Strictly  business  purposes,  like  Mr  ‘ Unter  says.",I
HPY 183,"There  are  two  things  here  which  need  to  be  distinguished:  one  is  the  structural,  intensional,  association  between  the  adjective  and  the  noun  (or,  strictly  speaking,  between  the  property  and  the  entity  that  they  instantiate)  that  form  a  phrase  together  and  are  jointly  engaged  in  the  business  of  identifying  some  entity;  the  other  is  the  referential  link  between  the  adjective  and  that  to  which  it  properly  applies.",O
HA7 888,"Anyway,  I  thought  this  was  strictly  a  business  trip, ’  she  added,  a  glint  of  mischief  in  her  eyes.",I
FAP 25,I  haven't  been  out  to  the  park  in  a  couple  of  months  and  that  visit  was  strictly  business.,I
HTU 2463,Strictly  business . ’,I
ASA 2053,"But  although  we  were  friends,  it  was  strictly  business  out  there.",I
ACE 2741,Our  business  with  Willoughby  is  strictly  military . ’,O
FS8 446,All  his  business  is  strictly  table-top  stuff.,O
AS6 150,"It  is  certainly  arguable  (and  many  progressive  employers  would  agree)  that  the  wisest  use  of  public  money  from  a  strictly  economic  point  of  view  would  be  on  schools,  houses,  and  medical  services,  together  with  relevant  training  and  measures  to  reduce  discrimination;  ,  that  the  agencies  which  most  obviously  have  the  capacity  to  produce  strategic  planning  of  a  business-friendly  kind  are  precisely  those  which  this  pro-business  administration  wishes  to  bypass  —  central  government  departments,  and  local  government,  properly  funded.",O
BP5 323,"This  approach  may  well  bear  fruit  if  applied  to  the  future  harmonisation  of  company  law  strictly  so-called,  and  indeed  to  the  harmonisation  of  national  rules  on  the  conduct  of  particular  classes  of  business  activity.",O
HGD 1179,‘ I'm  here  strictly  for  business  and  being  dissected  does  not  appeal  to  me  .,I
HHB 4097,"Nor  need  she  expect  anything  more  than  a  strictly  business  afternoon,  she  warned  herself.",I
HTU 2818,"Strictly  business,  Laura.",I
J54 2494,""" Or  still  keeping  our  relationship  to  a ""  strictly  neutral  business  acquaintance ""?",I
HA7 1146,"Strictly  business,  her  inner  resolve  prompted.",I
