document,sentence,label
A6L 1851,"She  seems  to  thrive  on  heretical  statements  and  swimming  against  the  tide:  ‘ I  look  at  what  the  cosmetic  trade  is  doing  and  walk  in  the  opposite  direction, ’  she  declares  with  the  kind  of  outspoken  defiance  that  has  made  her  a  retailing  legend  in  the  decade  it  took  her  to  turn  The  Body  Shop  into  a  worldwide  phenomenon.",O
K1G 3297,A  man  whose  family  has  been  importing  American  jukeboxes  for  generations  is  about  to  turn  the  tide  and  start  exporting  his  own  design  to  the  States.,I
H0D 274,""" Yes,  the  tide  had   turned  when  I  got  there.",U
G2V 3527,"But  after  that  the  tide  of  fortune  will  turn  in  your  favour,   you  should  end  up  celebrating  some  kind  of  moral  or  financial  victory.",I
CBC 423,The  solar  eclipse  on  the  24th  indicates  a  turn  in  the  tide  regarding  work  and  you  can  anticipate  some  surprise  developments  here  from  the  beginning  of  January.,I
HGP 2039,The  tide  has  truly  turned.,I
CM1 2330,The  tide  had  turned.,U
CRX 1046,But  in  the  late  1960s  and  early  1970s  there  was  a  marked  turn  of  the  tide.,I
EA5 131,He  had  moored  three  laden  barges  in  position  midstream  and  is  the  tide  turned  and  the  fog  swept  upriver  he  had  finally  managed  to  bring  the  last  of  them  into  its  berth  below  Chamber's  Wharf.,L
EBS 2308,"Should  the  current  tide  turn,  we  will  think  about  it  with  great  pleasure  and  renewed  confidence.",I
BM6 671,"During  his  career,  the  Master  of  Stair  showed  himself  to  be  willing  and  able  to  flow  or  turn  with  the  prevailing  political  tide,  changing  sides  as  it  suited  his  purpose  or  ambition.",O
E9R 670,The  tide  will  turn . ’,U
CSP 341,"Last  Wednesday's  heavy  New  York  papers,  the  Times  and  the  Wall  Street  Journal,  devoted  acres  of  newsprint  to  the  disastrous  turn  taken  in  the  tide  of  IBM  Corp's  affairs  —  but  alongside,  IBM  still  ran  a  chirpy  RS/6000  ad  with  a  picture  of  computer-generated  bubbles,  with  a  blurb  entitled  The  Computer  That  Made  This  Picture  is  Also  Making  History.",O
B77 182,BRITAIN'S  doctors  seem  set  to  turn  back  the  tide  of  support  for  cheap  unbranded  drugs  —  against  the  recommendation  of  the  Greenfield  report  which  was  published  last  week.,I
G1L 701,"You  turned  the  tide  of  a  battle  then,  centuries  ago.",I
AD2 804,"McCrea  polled  very  badly  against  the  OUP  candidate  Martin  Smyth,  and  some  journalists  hailed  this  as  the  turn  of  the  tide  in  the  DUP's  electoral  fortunes.",I
A6R 1298,"Some  better  fish  at  Skinningrove,  with  the  turn  of  the  tide  best.",I
CH1 1505,"ONE  group  of  men  turned  the  tide  of  the  Gulf  War  against  Saddam  Hussein  —  and  they  did  it  by  tying  up  thousands  of  Iraqi  soldiers  in  a  deadly,  sophisticated  and  top  secret  game  of  cat  and  mouse  in  the  desert.",I
EEF 1548,Since  then  the  tide  has  turned.,I
K97 12474,"Although  an  opinion  poll  last  week  suggested  they  could  just  secure  the  required  number  of  seats,  the  tide  is  expected  to  turn  against  them  in  the  course  of  a  three-week  campaign.",I
H0D 396,"If  the  doctor's  estimate  of  the  time  of  death  is  anywhere  near  right  I  doubt  if  he  was  put  in  before  the  turn  of  the  tide . """,L
K4C 1075,"The  prospects  of  success  looked  bleak  as  Christleton  raced  to  45–0  off  only  nine  overs,  but  the  tide  turned  as  Robbie  Hall  and  Brian  Mitchell  both  went  for  22.",I
HCX 356,We  all  have  to  keep  up  appearances  while  we  wait  for  the  tide  to  turn.,I
J2N 239,"In  their  report,  Turning  the  Tide  —  a  future  for  estuaries,  the  RSPB  calls  for  government  action  on  a  coastal  strategy.",I
G3R 1059,"the  mobs  in  Teheran  had  all  been  anti-Shah,  Gradually,  however,  the  tide  began  to  turn.",I
